"","OG1RF_RS00170","OG1RF_RS00175","OG1RF_RS00215","OG1RF_RS00290","OG1RF_RS00380","OG1RF_RS00490","OG1RF_RS01455","OG1RF_RS01650","OG1RF_RS01845","OG1RF_RS01910","OG1RF_RS02045","OG1RF_RS02065","OG1RF_RS02075","OG1RF_RS02080","OG1RF_RS02110","OG1RF_RS02125","OG1RF_RS02200","OG1RF_RS02815","OG1RF_RS02895","OG1RF_RS02900","OG1RF_RS13340","OG1RF_RS02915","OG1RF_RS03095","OG1RF_RS03115","OG1RF_RS03135","OG1RF_RS03150","OG1RF_RS03300","OG1RF_RS03375","OG1RF_RS03380","OG1RF_RS03535","OG1RF_RS03660","OG1RF_RS03985","OG1RF_RS04680","OG1RF_RS04685","OG1RF_RS04690","OG1RF_RS04695","OG1RF_RS04840","OG1RF_RS05115","OG1RF_RS05865","OG1RF_RS05870","OG1RF_RS06745","OG1RF_RS06750","OG1RF_RS07115","OG1RF_RS07150","OG1RF_RS07155","OG1RF_RS07160","OG1RF_RS07165","OG1RF_RS07250","OG1RF_RS07470","OG1RF_RS07630","OG1RF_RS07640","OG1RF_RS07645","OG1RF_RS08215","OG1RF_RS08230","OG1RF_RS08260","OG1RF_RS08490","OG1RF_RS08495","OG1RF_RS08565","OG1RF_RS08570","OG1RF_RS08575","OG1RF_RS08600","OG1RF_RS08605","OG1RF_RS08610","OG1RF_RS08965","OG1RF_RS09310","OG1RF_RS09470","OG1RF_RS09510","OG1RF_RS10300","OG1RF_RS10305","OG1RF_RS10785","OG1RF_RS10790","OG1RF_RS10795","OG1RF_RS10800","OG1RF_RS11065","OG1RF_RS11270","OG1RF_RS11455","OG1RF_RS11610","OG1RF_RS11615","OG1RF_RS11620","OG1RF_RS11660","OG1RF_RS11665","OG1RF_RS11740","OG1RF_RS11930","OG1RF_RS12560","OG1RF_RS12700","OG1RF_RS12705","OG1RF_RS12755","OG1RF_RS12760","OG1RF_RS12985","OG1RF_RS13175"
"ENTFA_As_1 (GE) - TPM",0.329481870207081,1.56054345448497,-0.213806116940911,-0.0631352756536516,-0.100258900017007,0.552637965808437,-0.111361443154241,1.51561362518387,0.530277580411898,0.377618964998325,0.5143664502167,-0.0306135126026363,0.0357846624434349,0.109219335586742,0.117635641785699,0.0654150228217995,0.310939728573139,-0.189897029402047,-0.514132981764117,-0.299717879891315,-0.358827347269128,0.0700752012288126,0.839170571298094,0.472736499738585,-0.637938762772222,-0.188595770514663,1.1399829707704,0.640535476851777,0.78331510996025,1.31638193630237,-0.0542234825388335,0.0838696854435443,-0.332736382835581,-0.327768841343393,-0.290077416652263,-0.462969019077985,0.649707639239369,-1.30361488128281,-0.250833256008139,0.120163462980801,0.488442382876908,0.018079385737298,-0.672893266683502,-0.330256923345646,-0.0945217305349002,0.434708606393665,-0.86946092286303,0.791690458540873,-0.123426501046079,0.749345615427215,1.06997003861504,1.10841445211062,-0.705445840961971,0.663443945455986,-0.506873958868559,0.00980927162097735,0.80603451563165,0.0472872667338414,-0.0826485505117375,-0.0266457219495226,-0.906481399847554,-0.737896897624817,-0.637917585472699,-0.378151104081408,0.240244282970207,0.0603687625063688,-0.663874641996579,-0.264132410391715,-0.248027764584877,-0.0493600363304711,-0.314995395562896,0.253064436773877,0.204206325896673,0.778462781715145,0.208705821317696,0.64995438102263,-0.216519555316847,-0.162921404170848,0.129760095484601,0.253662943490293,-0.364512533523779,0.77135955271552,1.01947426835468,1.07768773707905,0.18710014869615,0.0206055059026422,-0.454653730574135,-0.223285504355506,0.33678278548968,1.00648956754124
"ENTFA_As_2 (GE) - TPM",0.412240049709486,0.529017533349337,0.289014354549906,0.0332735583875038,0.322962794753756,0.734075287773068,-0.489908654646187,0.890741671802275,0.168961125310121,0.530737257334798,-0.158374263883981,-0.46673929524679,-0.247021721177819,-0.197980911322684,0.164329948771656,-0.00670061986887218,0.0109716302978721,-0.303822243413063,-0.517330326421422,-0.437857392931333,-0.461413681464457,0.114195425727907,-0.197353145301862,0.376026373883545,-0.691137654450485,-0.641860856587409,1.42598275785002,0.98125290240631,0.626870409007964,1.22123434795652,0.854267634023319,0.935804627308086,-0.199568011460727,-0.313677431881914,-0.262564847267349,-0.214547228679335,0.249709602189717,-1.00101183240849,0.0101670437567727,-0.0414508252004989,0.269758225011807,0.153513358813535,-0.51233057678756,-0.576568658119349,-0.369279029531213,-0.209743449889286,-1.01591856042059,0.0619538064753085,0.416989508701669,1.89377141870117,0.417551542470935,0.800850178794677,-0.569991062482753,1.41772326012028,0.100423009379962,0.259021249732551,0.675752583814057,-0.291791051543544,-0.240495450660339,-0.152879144417671,-0.78973479226733,-0.707708722857985,-0.652753482163539,0.106878251243986,0.160454137399481,0.239158784583748,-0.913496046701762,-0.237183432743876,-0.265602103882669,-0.105938994238049,-0.144593336735169,0.0251457510103336,0.525090164294539,1.28333166968141,0.61597662786923,0.012199478697906,-0.284302160921792,-0.00194241564976274,0.0265119170686227,0.0053318152032715,-0.538143634691003,1.12327703342458,0.666409194276946,1.03071515644152,-0.322835585362559,-0.215477950696886,-0.34392201331337,-0.223285504355506,0.0971709875143097,1.28280879102637
"ENTFA_As_3 (GE) - TPM",0.91619080308419,1.49069995514934,0.0915146994714571,-0.267862910524525,-0.210555434749715,0.777472594757518,-0.344482501419535,0.980039669133861,0.718943155508471,0.314953808125584,0.174514412056317,0.168749676035491,-0.103956137528708,0.104127226976554,-0.106358506696331,0.262081820503193,0.420541339539665,-0.318609689667943,-0.187225548923257,-0.356711240547461,-0.350499862767137,-0.192132397072932,0.60448624319201,0.583714957325411,-0.737809807097671,-0.382989821258093,1.09284377410563,0.500752775979066,0.981900774160444,2.11712219383888,0.222785890086151,0.540503049842779,-0.235183111018493,-0.34818283382507,-0.387007990755647,-0.298120783405887,0.531186608783829,-1.19726313969504,0.0417783287633126,-0.188033670549163,0.203226633213178,-0.0465093882433449,-0.465901113223302,-0.230862388915964,-0.479963935302502,0.0567140173763779,-0.92114269661748,0.845408748114227,0.394958639427656,1.64032267580864,0.751963551968262,0.954394944181735,0.170067340611895,1.47264063258119,-0.0161459109133974,0.114109394885507,0.224952099692094,0.0226756686946675,-0.168522938735296,-0.156104309577282,-0.859826819778153,-0.733633864898693,-0.595866182243891,-0.319954839689265,0.896786859903329,0.186468164367238,-0.328783776211073,-0.154970003429161,-0.302775428011565,-0.0575346444760906,0.429435796672157,0.0983706629328704,0.0424554679033387,1.34907473268356,-0.553218811376904,0.545716791177885,-0.104515132655447,0.0244328958151665,0.13668396501709,0.249006669839757,-0.239772902397424,1.56110258919943,0.428050323722091,1.28180276179263,-0.129132559517079,0.102952107936457,-0.416562801019927,-0.223285504355506,0.305969259039541,1.34956713931966
"ENTFA_Bs_1 (GE) - TPM",0.54413784401556,0.224756215267172,0.499482167141541,-0.62550254195277,-0.239626490072329,-0.523201841853599,-0.441140392208697,-0.31465900835002,-0.534985228886786,0.154157106106035,0.322027636810599,-0.519225309904173,-0.397016695046292,-0.320943820953134,-0.559718318548436,0.376746713226449,-0.174803686927501,-0.406404495493515,0.971946279705667,-0.114092516414759,0.19663319224793,-0.0398556746585124,-0.231046499502639,0.251088227641305,-1.10298607699107,-0.32726046421537,0.841985526177562,0.090696909081069,-0.0911760410901411,0.190381903013762,-0.710045965904209,0.479774603793037,-0.462453497156829,-0.398071174971939,-0.348332104805312,-0.328487555697656,-0.0903158866018242,-0.982468692209945,-0.176594385661633,0.273558899168612,-0.694547212363847,-0.144670031038642,-0.0961034476615217,-0.207956729544882,-0.33033421723554,-0.36571025912006,-0.462705183120506,0.937013546984532,-0.716394554339079,-0.809321148496705,0.126631473953727,0.108656290580534,-0.169747328882779,-0.760618796710257,-0.519337662019078,0.00256487071207349,1.06123104584732,0.0720960033980367,-0.155201123442884,0.198147007964356,-0.503679868855818,-0.635658193399654,-0.621804660284165,0.0875984923066986,-0.0788092805030702,0.330970370284907,0.113242235888914,-0.306163153462277,-0.30929588070512,-0.2820689768435,-0.106245338802231,-0.0950763221240578,0.221071991636527,-0.224481642856878,-0.862963050142118,-0.810482967753682,-0.17990999871268,-0.0661477130756998,-0.205570779853553,-0.279105009207256,-0.720282575321669,-0.383712780063123,0.463770397272566,-0.726925350990843,-0.37808148922893,0.0303600734138137,-0.655696857083209,-0.223285504355506,-0.236401762961178,-0.223012911831495
"ENTFA_Bs_2 (GE) - TPM",0.22027871446649,-0.132980703947171,1.35534502200516,-0.332865246180313,-0.0287979789914631,-0.600194381979375,-0.85516170548211,-0.23740675298841,-0.862616075470574,0.0516046489142165,0.0984571890202864,-0.700828806624796,0.010318428529042,-0.0745594636946028,-0.508929830783571,0.289691017758445,-0.503611371475305,-0.235426960210989,1.77094912640182,0.016436240160461,0.221788215065258,0.641936543064912,0.379534057247246,-0.265718961601565,-1.17226967419122,-0.803516040004364,0.646099036348051,-0.24952510044654,-0.18182466127802,-0.461489320267671,-1.01074960849086,-0.625901457075152,-0.0323672047924285,-0.287542382087639,-0.395914478124069,-0.437427595726857,0.306596255582691,-0.812536617964759,0.342461109160419,1.29113078960561,-0.501258815590885,0.295895139786026,0.565456410073796,-0.405885650705971,-0.732606465385601,-0.232093961955684,0.0190583356084986,1.39975138766674,-0.51689652441766,-0.358762617644951,0.303925624859255,-0.0689764046169782,0.446330192186452,-0.188500851915834,0.740626772393274,0.309616963639785,1.08760903784442,-0.271243721565316,-0.305537095500357,-0.336461191733718,0.0116346909596212,-0.418263718687748,-0.455260459205083,0.858750379809064,-0.440866428977292,0.403725812706576,0.735169582424599,-0.290168014991846,-0.308046167495605,-0.24373478490923,-0.131910752152445,-0.159355695333621,-0.0491941315780203,-0.765465359352994,-0.312353507640557,0.0265601545861695,-0.213077040726037,-0.204870046360181,-0.304016353370701,-0.048056866589674,-0.304900828593074,-0.113305613006502,0.00590203840702869,-0.846032146437223,-0.308307437919748,-0.506358749456183,-0.42222531454972,-0.223285504355506,-0.226741867989527,-0.248967323926765
"ENTFA_Bs_3 (GE) - TPM",-0.16083190196231,-0.762171406621406,0.739134716528198,-0.544614762281481,-0.428505667197646,-0.625737992564028,-0.744860311510704,-0.480749434887625,-0.683701195969649,0.201615558765875,0.306225599981314,-0.752356788481619,0.286726068429926,-0.264877758137974,0.372826635303474,0.748629208836183,-0.505348018255246,-0.301236338523575,0.729966469590656,-0.0704901420007653,-0.0199302622133327,0.0625203541817484,-0.145061360414253,0.123912064034259,-1.13850698781571,-0.435742897710036,0.886348900029184,-0.145031428108354,-0.44703224960031,-0.202250064329386,-1.00166780832632,-0.0220391190613448,-0.457756742843123,-0.213201522066443,-0.340268174310969,-0.58460490717187,-0.0866586016893479,-0.603394402641764,-0.119572647407971,0.183161035277262,-0.807627442846636,-0.698669433067381,-0.0167285930874823,-0.189255457386792,-0.572310056619718,-0.812125236985608,-0.377992366495701,0.0978978882050958,-0.650228136237733,-0.707939531167608,-0.0567346219544431,0.199020386941887,-0.617017447516926,-0.790999106862798,-0.149112784910413,-0.127435110007936,0.48272041892822,-0.358328444545224,-0.322193830466157,-0.216712695150996,-0.172067259604548,-0.568408139866118,-0.618428021469876,0.702392883326439,-0.485192534248045,0.111158692644396,0.620518441579101,-0.309680480370366,-0.287596422580258,-0.386763230836398,-0.579521590864935,-0.268384673430403,0.0813173004716826,-0.240062803000419,-0.851165322013211,-0.35575031203915,-0.283314224038785,-0.0610809301599278,-0.178248115127728,-0.246125729076671,-0.609008386571294,-0.785499284478264,-0.107591887870044,-1.15946298476815,-0.708081739312355,-0.443964739336542,-0.617252652917777,-0.223285504355506,-0.267574556902783,-0.0624695399873216
"ENTFA_Ctrl_1 (GE) - TPM",0.102847280579524,0.712383491207921,-0.234324762921563,-0.552096185658257,-0.225446731377737,-0.277159168210267,0.246185142544129,-0.589745914798325,0.155614480088808,-0.506712762326863,-0.338615515343084,-0.690071292031306,-0.0938197174638372,-0.948506620179446,-0.486218490195542,0.320250010704916,-0.884471102411285,-0.488009676107731,-0.692016344953308,-0.17970035824229,-0.142642080784811,-0.641157863030401,0.569878823341817,0.377372297322733,-0.922531707191905,-1.21801610140545,0.242377260655816,-0.171908344814413,-0.843523795983325,-0.71004846742534,-0.321337388186604,-0.160994063531952,-0.481756719070654,-0.307998755549842,-0.343567878901584,-0.520428983130717,-0.464160511957949,0.153194932850775,0.0574965506280264,-0.357483660812565,0.027235459004731,-1.25094459933972,-0.417695070993954,-0.196669038849909,-0.518085806145307,-0.185919189047282,-0.737462554782743,0.497335413608527,-0.300287916283617,0.257399602315629,-0.00283838430644498,-0.434038183546652,0.389168757417767,-1.36266942923176,-0.414131480572647,-0.312700708409991,0.255407862665279,-0.481551950352553,-0.444279745304353,-0.327635909540324,-0.914110528271702,-0.790962442342111,-0.628304738419815,-0.216091130357082,0.620575624220626,0.2572085507876,-0.653103633728203,-0.296367756508252,-0.27257526821904,-0.154315397730949,-0.392516476527825,-0.203410602983486,-0.219359068126535,-0.246331120251057,0.0579627322289573,-0.775313584481323,-0.221149193312003,-0.196995342173665,-0.239275378980866,-0.740307453069004,-0.841200260748873,0.191950578486317,0.360761603072645,0.336830242115303,-0.311642966932987,-0.910522006550796,-0.617852051468386,-0.223285504355506,-0.386294691280512,-0.554162461164301
"ENTFA_Ctrl_2 (GE) - TPM",-1.17470886423693,0.18997629522318,-0.625320984201092,0.365989055704934,0.261606220028071,-0.495317985811721,-0.721959091786556,-0.623126518276598,0.58160346654719,-1.21890054056592,-0.807001386521753,-0.570268610205278,-0.910903628303973,-0.860276837367348,-0.411456863258161,0.13864889969243,-1.13546620718301,-0.278360152115634,-0.502090108924715,-0.30327690279977,-0.343399578406289,0.0452204270398979,0.143844187936963,-0.145237697764114,-0.586910501172562,-1.54466589302237,0.166737754036914,-0.161603767238117,-1.02788446593462,-1.15391661242668,-0.142591572158893,-0.573018430898622,-0.149532546104858,-0.401613941131767,-0.333407247398214,-0.391917522519464,-1.31165991539656,-0.149361585074864,-0.121971729885837,-0.204481629579513,0.592594587935638,-0.14606436584779,-0.381917342604476,-0.443635215570236,-0.395899482040993,-0.11215454967085,-0.729913939251609,0.295039588002044,0.54071090244659,-0.384755945134909,-0.475878479446659,-0.267213923455761,-0.654956691429274,-1.00589739210716,0.0237937822610651,-0.667245677914086,-0.517948894214387,-0.531464062791982,-0.43186659928915,-0.491037218992632,-0.421738572433444,-0.713959129622385,-0.605973920569544,0.0520717720699868,-0.0324559719465848,0.455406967888157,-0.040267777481179,-0.307646765543165,-0.311031184560185,-0.333755280676571,-0.483012928544336,-0.81952725906559,-0.480982279517901,-0.100840557659233,-0.244885678789692,-0.42277989725074,-0.428132229013175,-0.127769940627638,-0.0453560636217135,-0.887813472710042,-0.69064234554421,-0.336969459670192,-0.735180976830283,-0.111542657522623,-1.49184019100697,-0.521317217716124,-0.699331690502793,-0.223285504355506,-0.435876521096372,-0.759643690201028
"ENTFA_Ctrl_3 (GE) - TPM",-0.727002079407932,0.553266014580404,-0.804530230460851,-0.733737366323182,-0.0277944461931363,-0.524353534750521,-0.464253194637622,-0.922314229650879,0.0842780863265403,-0.906656334396993,-0.388408067824479,-0.799788924217559,-0.794961854599204,-0.88558217020966,-0.00763351474429999,-0.32804907330501,-1.22545050251827,-0.13120560332902,-0.772038577033623,-0.174109757181386,-0.465859569584588,0.305852260164851,0.491922209176002,-0.224794000928432,-0.614032497715855,-1.65013675921869,0.330711076450933,-0.138856148503176,-0.836183936186675,-1.20809692791071,-0.45263302841026,-0.748125512957303,-0.425195836647785,-0.472247440225338,-0.420557245375468,-0.634425301285437,-0.969124121116258,-0.226661502986473,-0.100806673361182,0.164347153710015,-0.509118110893725,-0.778955920827136,-0.578392940536159,-0.237970894078755,-0.655569925150683,-0.663281516131646,-0.62140249144238,0.690621252348485,0.615946178774974,0.450333919136037,-0.292310433847492,-0.249924267522583,-0.727521265611668,-0.444322994917678,0.972981687462779,-0.452656525234691,-0.342330289634907,-0.448341415094173,-0.500073567434307,0.0330210252127631,-0.335478187077219,-0.669001468609949,-0.590419522856607,0.549511016972763,-0.716077911575065,0.0229244276437739,-0.185317212283985,-0.266270072868341,-0.278615427373327,-0.186507419925597,-0.282447682972357,-0.520821349927887,-0.515317651347385,-0.858997507675228,0.127206991468276,-1.11019740016242,-0.339526227551419,-0.110640195926837,-0.398977404006191,-0.913754209516334,-0.887757867000741,-0.142835714596516,-0.880031256728456,0.214731307431934,-0.886546374769247,-0.765254203265173,-0.656169248701957,-0.223285504355506,-0.406360628099734,-0.224438921603222
"ENTFA_Li_1 (GE) - TPM",-0.288897443356285,-0.791987997406284,0.332993103039754,-0.778640008763278,-0.664336181840267,-0.378179865326451,-0.622552240395533,-0.702199199549149,0.251050944657306,0.257100627463012,-0.212303338385284,0.24823708479681,-0.213023084108477,-0.296429383074179,1.17315481687134,0.631878706338756,-0.751107901800009,-0.488009676107731,-0.30121703836734,0.256427350773016,0.202907039546775,0.101134315302353,-0.558155380377577,1.06750330059286,-0.757787809225539,-0.104836903835631,-1.0801449345656,-0.0220497886459732,-0.369909500548457,-0.647457225289062,0.354858470780613,-0.511783027979582,-0.129029130992602,-0.324737176047279,-0.337476026563228,-0.164305872153197,-0.528226544910983,0.547363350483644,-0.183849827412117,-0.392852519955598,0.332014225832345,-0.593124252645934,0.527914930476972,-0.44859945596789,0.281195685531409,-0.937130454634658,-0.230927754465411,-0.0577633707293892,-0.0516421788512642,-0.254695563076205,-0.553652221461308,-0.327424741727823,0.0428360805016003,-0.483497865936273,-0.183220023115214,-0.512212018500254,-0.663358259663055,-0.147873385054982,-0.333237132286978,0.0794629525502488,1.33007772174839,0.710640714985368,0.670708984660418,-0.708075609641835,-0.134798813550794,0.496719213700416,-0.419530672840842,-0.361383869076909,-0.304881383757793,-0.769011225501457,-0.395376251250441,-0.975275941617021,-0.773275179535999,0.045267955554545,-0.166761941615463,-0.982345379348662,-0.449551603246451,-0.58635992939276,-0.652069954609621,-0.705421457770633,-0.894407568574929,-0.514028074337885,-0.440185652999553,-0.805287760452348,-1.08113744151904,0.0613033440975349,-0.355060304875503,-0.223285504355506,-0.0583999785157963,-0.0529849589414869
"ENTFA_Li_2 (GE) - TPM",-0.589834360491771,-0.306053143040221,1.05661601535221,-0.812199820191495,-0.566226422296653,-0.364420454029198,-0.161019469198951,0.0665352925355418,-0.4001951698668,1.10482530866665,-0.7496987042342,0.474881927685233,-0.120087507942606,-0.18082777639918,-0.867454861919887,0.678817206021299,-0.356677493497252,-0.371654895267598,-0.226133392120991,0.1280282026564,0.321034191766893,-0.0166913273700292,-0.25484872261249,1.15633178694081,-0.686357526674059,-0.0902346313866143,-0.959444790629399,-0.13371870032393,-0.618279210426891,-0.20193359505658,0.0743029333063963,-0.143025879757129,-0.0973505131943753,-0.246312577115369,-0.36944859407866,-0.286530172182674,-0.361791869154387,0.684296997040286,-0.133891872353327,-0.590408881562052,0.473383223874762,-0.219881688122938,0.975328974213372,-0.313723598194655,-0.0439761459677342,0.365418999004684,-0.454330252246469,0.36075388191182,-1.03863088978934,-0.0936751968781728,0.0281243988723721,-0.258311916698479,0.0262667243617518,-0.663353536045,0.31040768089032,-0.498911523590924,-0.374085686615187,-0.228848497821618,-0.280334426838872,0.180343153670131,1.19341518148912,0.815231895346395,0.923241819521474,-1.03234638079,0.772151211876519,0.604557192110215,-0.63285975158141,-0.346045857325301,-0.27330700826344,-0.652194231997909,-0.687089805102484,-0.768263457628272,-0.932397131670111,-0.35546967560639,-0.278879757478133,-0.733769994307726,-0.485989532897842,-0.409757058745975,-0.513029440876991,-0.73933204171276,-0.767684046647589,-0.368241669491427,-0.540080559355529,-0.831099437247628,-0.596160109304268,0.407802517422625,-0.771761681564919,-0.223285504355506,0.189178691913095,-0.197872970504299
