"","KPN_RS01410","KPN_RS01415","KPN_RS01475","KPN_RS30055","KPN_RS03235","KPN_RS03400","KPN_RS03480","KPN_RS03490","KPN_RS04170","KPN_RS04175","KPN_RS04630","KPN_RS04710","KPN_RS04810","KPN_RS05090","KPN_RS05710","KPN_RS05925","KPN_RS06075","KPN_RS06740","KPN_RS06960","KPN_RS06965","KPN_RS07000","KPN_RS07090","KPN_RS07145","KPN_RS07270","KPN_RS08445","KPN_RS28865","KPN_RS08995","KPN_RS10430","KPN_RS10645","KPN_RS10835","KPN_RS10920","KPN_RS10995","KPN_RS11005","KPN_RS11010","KPN_RS12135","KPN_RS12160","KPN_RS12170","KPN_RS12315","KPN_RS12405","KPN_RS29025","KPN_RS12435","KPN_RS14050","KPN_RS14415","KPN_RS14655","KPN_RS15780","KPN_RS15925","KPN_RS16040","KPN_RS16525","KPN_RS16620","KPN_RS16790","KPN_RS17050","KPN_RS17370","KPN_RS18415","KPN_RS19155","KPN_RS20905","KPN_RS21175","KPN_RS21510","KPN_RS23725","KPN_RS23965","KPN_RS23975","KPN_RS23980","KPN_RS24185","KPN_RS24475","KPN_RS24855","KPN_RS25225","KPN_RS26485","KPN_RS26780","KPN_RS29670","KPN_RS26925","KPN_RS27600"
"KLEBS_As_1 (GE) - TPM",-0.159529512229415,-0.754128454534987,-0.649759013079702,-0.681990370363808,-0.322802070666067,-0.341399237295773,-0.780323025312693,-0.589028082869421,0.328865082745962,-0.0349631800062335,-0.535316449965941,-0.263092163633241,-0.921917758919564,-0.362410356102091,0.979099208219606,1.12863604161085,-0.444219646071657,-1.35850028826292,-0.375963867382219,-0.422984123090645,0.914864983835235,-0.776321786168292,-0.629895216792595,-0.2983677190123,-0.52085641446946,-0.285194195847078,-0.881311185010527,0.209557441993867,-0.0613864931906139,-0.395942872695733,-0.704805821401163,-0.367779364176132,-0.178165125643061,-0.0313511079937552,-0.787028565197131,-0.56849375174656,-0.0847412524885294,0.111795003819436,-0.108247165223267,1.41925281660825,1.11840364281181,-0.0595877949267369,-1.04396428391579,-0.407807563858868,0.791365797100576,0.683852169175984,-0.532906634975716,-0.419430310499135,-0.872565637709522,-0.190601907054207,-0.781209822231252,0.229279726060728,-0.49732844472991,-0.189162094022071,0.0416837413301678,-0.3275629219493,-0.122555436133073,-0.71887723071036,-0.583151305310982,-0.682840729111229,-0.694591785020484,-0.683163892832088,0.264326035124943,-0.546553040389757,-0.435401855880211,-0.796927629910349,-0.696277969795007,0.228502062317981,0.0435776101324343,-0.849453428132423
"KLEBS_As_2 (GE) - TPM",2.51642800809063,-0.294906487930067,0.269116752786588,-0.478883043342327,-0.887344261587981,-0.071416518007525,-0.567146200367495,-0.153956470215561,0.57973454505166,0.0964517159113186,-0.565096226650779,0.387398986122783,-1.69427640648274,-0.714024709921754,1.0043174643743,1.23849082010013,-0.539455591930967,-0.972524275198048,-1.03168790795505,-0.849882011469837,0.0205994120412596,-0.0780454403860763,-0.100260003273162,-0.0111034717654725,-0.668244431728136,-0.511118721608508,-0.369492330458068,-0.882651399485043,0.133242305401868,-0.39881178174214,0.36197105807426,0.0944775152491967,-0.452254241274927,-0.757059195936162,0.27469692362042,0.0602646422531732,0.191009500348427,0.417792680803012,0.117026440853117,-0.493573354121065,0.881046894477515,-0.384574250701399,-0.183546025863496,0.310574517825431,0.844658830974237,0.661273753135417,0.097525451924673,-0.353497553640634,-1.17523096916984,0.961372185833479,0.0255409000156941,0.748648663032941,-0.189875394227497,-0.649662982727619,0.124551065052626,1.51557443624811,-0.713158017841292,-0.0445326861532314,-0.583151305310982,-0.537994204137608,-0.605206576928497,-0.911728678431686,0.321356392073732,-0.0375698956898914,0.579894404823132,-0.332101507812525,-0.425632221105548,-0.0897043775613188,-1.12973904538979,-0.203906831248496
"KLEBS_As_3 (GE) - TPM",0.340078891590468,-0.287725037930852,-0.280565187394949,-0.904511686507213,-0.0250158909854036,0.221587057217825,-0.702845323689649,-0.424373486096432,0.362009410871318,-0.101773114825305,-0.51638727997578,-0.227989414464711,-1.38415959436551,-0.641233867336895,0.751888298295803,1.53125989269475,-0.42777202203431,-1.01312038240267,-0.0232285359335067,-0.640237206113647,0.247443628583268,0.127938850466742,-0.474577348231755,-0.310516773430483,-0.732819453731802,-0.0122209533118223,-0.150136104881905,0.359151456692309,0.485460570335874,-0.021361236845325,-0.682491638134372,0.996747179448825,-0.275365957341951,-0.202332193424048,-0.215000477447314,-0.407301555341232,-0.971852165853681,0.0891731043889449,-0.674267596134306,0.271149224093962,1.39281956371676,0.0565438845068802,-0.671182995674889,-0.143206949355741,0.417288443352177,0.78356303913586,-0.960978887459529,-0.274934099276258,0.328580448247532,-0.11915677981822,0.191219955592569,0.273453905216322,-0.457572273072853,1.29955008015156,-0.133131755918499,0.124108595008292,-0.372144993562614,-0.209950090423251,-0.37139487820881,-0.601504188417687,-0.655256225846201,-0.997518455058407,0.538347695149881,-0.438630016967886,-0.679901594086855,-0.638615345213807,0.355775251619433,-0.301305109153135,0.0314829235973877,-0.534393557499011
"KLEBS_Bs_1 (GE) - TPM",-0.4114604571067,-0.453748157865408,-0.521909899888386,1.27011998924765,0.367829057794428,-0.153984600281526,-0.10552684843021,-0.203943717336316,-0.136482725203576,-0.252498014916569,-0.308738930434778,0.0937630313775199,-0.282569824234926,0.686178103287625,-0.0199716324869205,-0.0196399192187734,0.402191524390706,1.52994724847478,0.388110186959288,-0.0932228356048613,-0.324224388139796,0.0609120343044529,-0.520704525566431,-0.57931632799828,-0.0632295345300694,0.395895621616062,-0.240397253450915,-0.0754167367879149,0.150396276130978,0.167802868356132,-0.0611566635299249,-0.210623835685091,-0.230138196402773,-0.308830783739002,-0.373147118330733,-0.580554818114386,-0.744631754455407,0.0721427256308984,0.0907965899257738,-0.596782643623321,-0.465780665877813,-0.181499412538889,-0.0612613779657076,-0.0956474485769424,-0.610121375075838,0.244708550512376,0.257717938017751,0.438874860757404,0.191761039062499,0.263444650667643,-0.0235329032439688,-0.0478220220995214,0.325656095234323,-0.376370206131458,-0.546029684061478,-0.322595453099415,0.10668599583241,-0.643745704241222,-0.143173123352483,-0.341238968779285,-0.0363849382520453,-0.593298976361652,0.8793884487124,-0.226048243206096,-0.189107669740193,-0.0836094545548021,0.0536111556729881,-0.0381618333527963,0.905982196076382,-0.514105822270176
"KLEBS_Bs_2 (GE) - TPM",-0.309095059076459,-0.380057503205986,-0.520045667484794,0.153534787125522,0.147440218995843,1.17804494236981,-0.139993374469841,0.260833014569521,-0.196918479268522,-0.151018121187228,-0.188426406758089,0.280266833050912,-0.0553166509738743,0.871999312809912,0.278830052335087,0.162870432040234,0.348552050264757,1.16024247565576,-0.20196631382975,0.148847568163256,0.749626790180825,-0.0990611586850659,0.250636839445263,0.310195895292336,-0.505249034531316,0.0147326952925513,-0.158800715099282,-0.349697126123333,0.372404564962768,-0.497171060602007,-0.064790222150532,0.183989032897602,-0.414577544165427,-0.757059195936162,-0.367089732255244,-0.152625738230906,-0.0729499829604384,0.304971999843663,-0.890077046734741,-0.463474983829148,-0.977949571293921,-0.0841005954867977,-0.630620674516074,-0.231655859022651,-0.555288563800316,-0.37314850281537,0.45260881909488,0.447318539521934,0.938178268786972,1.00130457276968,-0.667324638329071,0.190412595549122,1.47030019183893,-0.862754441327179,-0.410880369756557,0.212157006064033,0.00331205847258302,-0.262558486826179,-0.359954441539047,-0.32757400918772,-0.409517762963141,-0.658188014259611,0.444966459057955,-0.427973590927736,-0.110815376829512,0.46562641678386,0.503292998950987,0.0979101397266056,1.61565887176097,-0.414530328933169
"KLEBS_Bs_3 (GE) - TPM",-0.484351731994956,-0.446461925466616,-0.394126793317061,-0.356737159171726,0.219522427819292,-0.574614361595264,-0.315137598085025,-0.0211604595010818,-0.214468654280041,-0.153542605701927,-0.260548254823485,0.0334990793795152,-0.697083598136134,0.835671393527529,-0.34838300400796,-0.325469515769867,0.303404886024796,0.490952311255842,0.876627599571819,-0.213529284985073,0.478914103079308,-0.206986881046841,0.0515714035083118,-0.39211323129023,-0.267119080244056,0.0718114104656661,-0.311756975600511,0.781842873182485,0.193376509417126,0.190083087897044,0.103682937935394,-0.309736034984306,-0.365355827800158,-0.180914288277725,-0.653909866334618,-0.309126105563615,-0.142857254912154,0.0488236225739736,0.566844740170784,0.439157778357907,-0.953346763089354,-0.38731877147906,-0.215925550942835,-0.42757750287055,-0.542664118487633,-0.208251558207555,0.334702915099793,0.331136042593625,0.777110647564822,0.334927814074746,0.817917433280312,-0.388877530553984,0.543631707763751,0.590275296033723,-0.445191858564056,-0.721613602489883,-0.202675205795475,-0.810698818770349,0.736442511818844,-0.413164437410115,-0.195941471978374,-0.90049596816914,0.25008961308552,-0.315780459449015,0.476671163894084,0.394854045228408,-0.101146345195967,-0.386972723158525,1.32911124543769,-0.751361434126817
"KLEBS_Ctrl_1 (GE) - TPM",-0.382902557289078,0.263614768290853,1.00418536684876,-0.111241213928765,0.107153089468994,0.360340838040585,-0.258502718908738,-0.191381817397983,-0.486522995033864,-0.392925343771022,-0.0528596734386924,0.872184799464781,-1.17909436294832,0.975597948118834,-0.252040429825742,-0.394410177405912,0.391179050101642,-0.112272480487657,-0.273614080710902,-0.12600326847928,-0.604775154008003,-0.787870235334124,0.144058121021964,-0.389143219302268,-0.251112496870549,-0.511118721608508,-0.190369098969767,0.183955137326421,-0.0583498460621722,-0.51038746558859,0.691643916183658,0.204974659243632,-0.21919252170774,-0.653512907610637,-0.894847371305459,-0.377730596695152,-0.199523877630216,-0.522632381852483,-0.346251684617924,-0.412120622137529,-0.542540514512955,0.0291723540034791,-0.255618496362459,-0.154158179832988,-0.910395654963966,-0.996418391242002,0.278382867427159,0.174522992464156,-0.333118958102039,-0.344030898955172,-0.781209822231252,-0.07162149298321,-0.185776839279606,0.358645189900904,-0.541118859154033,-0.470490592836051,0.699278852411287,-0.377770388184095,-0.583151305310982,-0.557846528855092,0.100538984598083,-0.294977658577617,-0.404741953865101,-0.511613899693233,-0.679901594086855,0.220118406437076,-0.0778990725693676,-0.545463602561411,0.550656477715067,-1.05622443674761
"KLEBS_Ctrl_2 (GE) - TPM",-0.84432317081002,-0.448767636996717,-0.649759013079702,-0.0483767899249719,-0.339610060538285,-0.541608940683898,0.571317599644549,0.636632685806435,-0.143481601244785,-0.270405765460687,-0.237745441098652,1.22590287955918,-0.990421860793239,0.758850208407331,0.0781242731720027,-0.386860992326326,-0.182948787093687,-0.415140426220967,1.11178382317199,0.00903044818200002,-0.235894942484466,-0.336941290591988,0.188994927202429,0.280080792179988,-0.571022244017557,-0.511118721608508,0.0804099979067153,-0.582929835301651,-0.0612953278402375,-0.135170350188257,-0.232664977586731,-0.85555205611845,-0.146391971669127,0.107696281127007,-0.807785051340769,-0.696702759717779,-0.257631508001104,-0.565913586768594,-0.752449837776857,-0.249232514387807,-0.697559972942024,-0.279466575523804,-0.850082235751733,-0.130181831765929,-0.381706835340052,-0.711731633228012,0.405056822870885,-0.0690070688861614,-0.64244262400347,-0.168268266000692,-0.643400188137712,-0.767291303102609,-0.49189720739304,-0.670908890627177,-0.665609734824297,-0.0873637575736261,-0.311428202790686,-0.294503218465953,-0.583151305310982,-0.410766254082162,-0.111488038424691,-0.550370617950384,-0.389991515140446,-0.164169591384204,0.869531890952502,0.482095601497019,-0.0847840623978903,-0.545463602561411,-0.376098296198428,-0.69570745664965
"KLEBS_Ctrl_3 (GE) - TPM",0.288335374000971,0.201973216908581,-0.649759013079702,1.1044646205556,0.423814483415435,-0.93498135025966,-0.548081385698983,0.193078889632407,-0.119866107939976,-0.274041935005585,-0.11348690659646,1.29342888435696,0.590503707030676,0.316363206990919,-0.0205454071756664,-0.686707050461529,-0.0559019851357926,-0.572737280964521,-0.645032544758494,0.20030727841213,-0.5252751821729,0.0477882847798808,0.8908336072589,-0.75641914648082,-0.612527041328864,-0.511118721608508,-0.881311185010527,-0.53303042620196,0.0837431656971319,-0.503357666606032,0.668849736274156,-1.21194611916527,0.0884039591646335,-0.31897095147677,-0.831436335096746,-0.438695059603437,-0.786791937245588,-0.610665427014888,-0.12313019934696,-0.28321337883151,-0.908535867253755,-0.542407982055435,-0.998885007454726,-0.860670562912674,-0.670076179978781,-0.762866432359135,-0.770803625640146,-0.0206529946731597,-0.878327221660274,-0.0621148772985169,-0.589218963247193,-0.307699361341623,-0.773937057975609,-0.859576771500872,-0.649212760984887,-0.397136123246002,-0.395897007536848,-0.723801665287584,-0.583151305310982,-0.376468377387341,-0.109992726457672,-0.738809584887773,-0.194421303689207,-0.329199773942636,-0.440056190047272,0.508757338495468,-0.400554934979568,-0.545463602561411,0.0901233538416255,-0.785777924971708
"KLEBS_Li_1 (GE) - TPM",-0.803072490270944,-0.718367886507929,-0.649759013079702,-0.437400243055764,0.0965623886588751,-0.367562185725996,-0.538571450128246,0.203529038371522,-0.130311126131618,-0.302838217653443,-0.222145715481708,-0.652397726750418,-0.191817268967284,-0.568875950271332,-0.447089437007621,-0.232478137338833,0.0704325666110666,-0.492981652423887,-0.882359523458528,-0.413321618115625,0.378292331729741,-0.978077934556549,-0.520674114992512,0.115969610766579,-0.439203998112885,-0.511118721608508,0.127585249542298,-0.482539094367752,-0.810489296049595,-0.135089570021077,-0.100865013662794,-0.353374704460142,-0.743594072721058,-0.39418948570819,-0.273334184677242,-0.741728453946103,-0.611206949755158,-0.887241797260447,0.22163531186976,-0.359292320390508,0.105842741332933,-0.625128827897555,-0.812685651802366,-0.242216936751845,-0.599046974727407,-0.914510570822517,-0.354230575752721,-0.754041145857681,0.177363126471485,0.398661557333746,0.172949548686589,-0.589496369595529,0.457171190074093,0.48183475430975,-0.172592876133166,-0.465616788638132,0.272695840420226,-0.0842433630047469,-0.583151305310982,-0.401082312158873,-0.260117762747612,-1.17142045784623,-0.0276826508322367,0.851955425432757,-0.282572365334752,-0.828494259940268,-0.860317578238679,-0.006428528387178,-0.513600825141724,-0.192179704550689
"KLEBS_Li_2 (GE) - TPM",-0.436386219108983,-0.794593434803277,-0.649759013079702,-0.251627789921659,0.385664797559531,-0.312819502970683,-0.511020453440947,-0.662416553776538,-0.375262144526209,-0.449811472605529,-0.435784280982471,-0.613770506760775,-0.378234980705745,-0.6720266750002,-0.669179030862373,0.2754895648117,0.648551755216738,-0.00586100858034583,0.9212579036152,-0.460709347611663,-0.31872375772877,0.224940870862896,0.399684616941261,0.0632053210368843,-0.350377044689331,-0.511118721608508,0.409292058348118,-0.673768423965212,-0.799721366834266,-0.616042945671586,-0.518644756729729,-0.51924361025419,-0.743594072721058,-0.384048427402742,-0.531301382871233,-0.634635585326327,-0.312836908200231,-0.567650174167873,-0.45473182943204,1.03431576342821,-0.599804636016584,-0.820039476922039,-0.228524914509605,-0.109842803431038,-0.487603558926748,-0.699992671635291,0.0706512431558233,-0.814569130534899,0.257297020366407,0.475700694221371,0.308595845280723,-0.224732048031467,-0.650076565400306,-1.13914703623066,-0.484032777160747,0.0113798161827591,-0.82615532840091,1.03906654977179,-0.583151305310982,-0.628588501748488,-0.246479470401974,1.00358119441273,0.156515171779315,-0.138505594383605,-0.271468273464709,-0.248608784007916,-0.860317578238679,-0.545463602561411,0.252016610560833,-0.529888410812129
"KLEBS_Li_3 (GE) - TPM",-0.477531840793796,-0.144863838301549,-0.649759013079702,-0.018602261086189,-0.52037039427784,-0.93498135025966,-0.27830702313483,0.288306913713495,-0.239164014984606,-0.366644745563847,-0.17879602822086,-1.0178474353583,-0.265179749917517,-0.69781076565559,-0.659535636046792,-0.419105351348497,-0.0816479033277087,0.0276141146800574,0.916737457044751,-0.319067626273013,-1.05856778886536,-1.52352346394575,0.206275215804108,0.121181847180058,-0.467774966171429,0.870300083321978,0.510588338300097,-1.28432674653888,-0.66564875902155,-0.756158259993065,-0.69747812481001,0.93795471910833,-0.743594072721058,-0.757059195936162,-0.64164094121844,0.0614798765135939,0.0696713921665846,-0.621629077746398,-0.890077046734741,-0.726312812969014,-0.456762795108875,-0.887000909278726,-1.06405597460137,0.0278675015654869,0.0850011347014761,-0.836453285798615,-1.2266805445724,-0.691604898988062,0.212757714438865,0.639680239205754,-0.631620861077966,-0.237513525747392,-0.906343412277254,0.603461994537549,0.00312943702236656,0.79690876704989,-0.714410606599317,0.208750328129445,-0.583151305310982,-0.450905904343102,-0.0382409820140949,-0.978810659165318,1.03268298284742,-0.362795143134321,-0.679901594086855,0.0612593787859185,-0.860317578238679,-0.545463602561411,-0.194271770562174,-0.273559842812073
"KLEBS_Mig_1 (GE) - TPM",-0.920910322094402,0.106348450521134,-0.649759013079702,-1.32863577219339,-0.993709892538247,-0.93498135025966,0.935941794877472,0.748095276761833,-0.643258175111837,-0.380284471834976,-0.387905673910418,-0.164019511711403,-0.673636849396806,0.989294313385267,-0.8697674003325,-0.683037468156144,-1.19528378529899,0.748269419349297,0.285801023057689,-0.723522501140831,0.247782737376872,-1.85255593219422,-1.12907160587977,-1.20889680950668,-1.24019614801937,-0.511118721608508,-0.369737679111663,-0.70692925031935,1.04801224863504,-0.966788493067197,-1.08874107407758,-0.813641781598092,-0.743594072721058,-0.757059195936162,-0.129218878038921,-0.320865987898111,-0.706414676854591,-0.703448260412697,-0.890077046734741,-0.726312812969014,-0.788569852618912,0.815716649839005,0.989804493055941,-1.20107975776657,-0.954297822581398,-0.689763545803655,-0.459527699605599,0.642832452204649,-1.17523096916984,-1.29600932184979,-0.781209822231252,-1.57018607158502,-0.118453304289153,-0.552047742425231,-0.916493665672756,-1.85176107746822,0.529162393897342,-0.977565760692973,-0.583151305310982,0.175173578560105,-0.526410870394512,-0.00336764415702182,-1.60496536937417,-0.635874827702373,-0.679901594086855,-0.0320250013644561,2.47067263115471,-0.545463602561411,-0.535230554541895,-0.812821855720293
"KLEBS_Mig_2 (GE) - TPM",0.308327775266679,-0.823145617455198,-0.649759013079702,-0.529103340562095,-0.993709892538247,-0.93498135025966,-1.16286579209259,0.748203689534838,-0.807497585936112,-0.471466441598673,-0.466410967221448,0.158268176830068,0.567017893722301,1.1016109747423,-0.338510187483895,-1.48489076694677,-1.28032548483468,1.17133808441454,-1.088446092072,-1.28504632852847,-0.150244413645063,0.884107634259125,-1.12907160587977,1.18334139755602,-0.234256298662057,-0.511118721608508,0.171130050918561,0.770927443216205,0.0222280862510689,-0.633097826239695,-0.546365492250174,-1.28709761643797,-0.743594072721058,-0.757059195936162,0.219266507375624,-0.108730345268834,-0.688292144681769,-0.691845748720831,-0.0617236323062757,-0.726312812969014,-1.11035450684239,-0.132669345981042,0.779176613479871,0.826707290879135,-0.882385457879713,-0.138088338609413,-0.288591333722738,-0.0524440783331371,1.06949907597374,-0.454531604759175,-0.781209822231252,-0.764365223582958,-0.104164077689198,-1.13914703623066,-0.402620896895706,-1.28944060088712,-0.361447832114023,-0.977565760692973,1.04244162925195,-0.31921281934292,-0.954136285454055,-0.770921822144924,0.83260431996011,-0.635874827702373,-0.679901594086855,0.0333879339063688,0.530089955894862,-0.545463602561411,0.476345624788414,-0.0547381981607746
"KLEBS_Mig_3 (GE) - TPM",-0.920910322094402,1.05813160940825,-0.649759013079702,-0.405838875068862,-0.993709892538247,-0.93498135025966,-0.541413674607489,0.189604985497553,-0.869199783758111,-0.808762500596886,-0.794007509824986,-0.355756844734133,0.590586576173913,0.844394168891021,0.0625259111472029,-1.14107646573058,-0.0318658326855511,0.0136159157645822,-1.69090638418333,-0.991857470908507,0.521557870576756,-1.85255593219422,0.812187419018955,-0.680053019760162,0.520941336754782,-0.511118721608508,-0.881311185010527,-1.36378108171601,0.325565068133441,1.27870367725369,0.902052266632036,-1.28709761643797,-0.743594072721058,-0.757059195936162,-0.171006633363479,0.665168629570259,-0.542774127826979,-0.415893765138852,-0.890077046734741,-0.726312812969014,1.68039753212752,-0.0802470778495655,1.45634925638687,-1.30468295611446,-1.07635924388914,-0.655335765136558,-1.43308669898687,-0.572716090579114,-1.17523096916984,0.398332654822786,-0.781209822231252,-1.37302469518053,-0.906069502892459,-1.13914703623066,-0.310221829331092,-1.40616330082573,-0.636631762483825,-0.977565760692973,-0.583151305310982,-0.397989322332193,-0.975929557148538,-0.518072446876487,-1.60496536937417,-0.635874827702373,-0.679901594086855,0.389943857118252,-0.860317578238679,-0.545463602561411,-1.67719072195033,1.08808684459174
"KLEBS_Nd_1 (GE) - TPM",-0.566450278410575,-0.533798422935814,-0.649759013079702,0.241531734261871,0.407817715199074,-0.252255204493025,-0.0931770411909974,-0.618993049095656,-0.331339574219359,-0.693797689623732,-0.515631151990628,-0.77680744374165,0.15389749125711,-0.827985046650431,-0.640801291183397,-0.255767647424371,0.222973979617896,-0.503091987189184,0.297267745105168,-0.361705344422645,-0.598191239118121,-0.254796042600402,0.429885012766192,-0.466749665190204,-0.117630612997569,-0.511118721608508,-0.0270730428341469,0.45069791874393,-0.741285276407556,-0.688813214997575,-0.706434667915804,0.502128555293453,0.305689319026171,1.00150713623995,-0.695326014432844,-0.339857429771301,0.00960252506035664,-0.161764266967221,-0.253111893378496,-0.726312812969014,-0.297999603001737,0.553791169908466,-0.429816106589883,0.120284080845887,-0.415203291718714,0.909651024232626,-0.235222390985274,-0.310321424639579,0.304277096362377,-1.22997663255494,-0.0370987974110948,-0.603655253928354,-0.734827075669808,0.563571293333278,-0.333886940042645,0.5069073397631,-0.57800366352555,-0.6263052476074,-0.583151305310982,-0.387705074024991,-0.292035012472541,-0.726582445976855,-0.589677590145677,-0.296274896032218,-0.679901594086855,1.31932651278833,-0.605756014982345,-0.0650383895276184,0.129320958816244,0.131007240000694
"KLEBS_Nd_2 (GE) - TPM",1.53263007015834,-1.09857211442587,-0.649759013079702,-0.866449603129328,-0.993709892538247,-0.93498135025966,-0.562231668874688,-0.987484949649976,-0.326537314375075,-0.895161057940336,-0.467143344123815,-1.27091822604125,-0.871497541670244,-0.412264875264349,-0.720735852654091,0.25356439419836,1.59695909493523,-0.275219207442651,-1.69090638418333,-0.259865113769605,-1.3432326880122,-1.15892564507238,-1.12907160587977,-1.43335522672019,-0.630976083999997,-0.511118721608508,1.51943917956145,-0.365278526085543,-0.270079764059154,0.174996856754279,-1.08874107407758,-1.28709761643797,-0.743594072721058,-0.757059195936162,-0.808718139877303,0.00135087796675979,-1.21560635553377,-0.569031735841285,-0.890077046734741,-0.726312812969014,-0.604372542801919,-0.25637156210454,-1.16936791826346,1.12630118635467,0.0591326000719783,0.519507121855036,-1.43308669898687,-0.275783813224408,-1.17523096916984,-0.636882658690932,-0.781209822231252,2.21335578101451,-1.56914330457533,-1.13914703623066,-0.627868470213766,0.0944270237027957,-0.82615532840091,-0.977565760692973,-0.583151305310982,-0.498376536446704,-0.28575718706502,1.26481309775419,2.21781098291467,-0.635874827702373,-0.679901594086855,-0.579972274998945,-0.860317578238679,-0.545463602561411,-1.00730622469833,0.0860333774331259
