"","lmo0278","lmo0361","lmo0362","lmo0365","lmo0366","lmo0367","lmo0484","lmo0486","lmo0541","lmo0679","lmo0847","lmo0848","lmo0971","lmo0972","lmo0981","lmo1007","lmo1131","lmo1132","lmo1211","lmo1641","lmo1691","lmo1692","lmo1734","lmo1914","lmo1936","lmo1957","lmo1958","lmo1959","lmo1960","lmo1961","lmo2002","lmo2003","lmo2004","lmo2063","lmo2104","lmo2105","lmo2104a","lmo2150","lmo2180","lmo2181","lmo2182","lmo2183","lmo2184","lmo2185","lmo2186","lmo2261","lmo2429","lmo2430","lmo2431","lmo2720","lmo2744","lmo2783","lmo2840"
"Listeria_As_1 (GE) - TPM",-0.795854981257102,1.53864974668851,1.3261140703801,0.336271925749219,1.19017817829121,1.2156861151812,0.7073257732076,1.4578294714586,0.923468350000101,-0.045951653782579,2.46490366194296,2.42473032664145,2.04192972386523,1.79638620593731,2.13558247031126,0.480591426643741,-0.24248233867003,-0.0725418286966481,0.51466133294476,1.03066767380175,1.05231220134705,2.26728304985257,-1.69062433740658,0.977517073842977,1.59388470659691,0.108141479830277,0.742318674038886,0.53456179735642,0.35674636949502,0.883083072538765,-0.673641940918595,-0.548856902990788,-0.53094398135706,1.69408645978189,-0.334431471219134,-0.5492772393301,-0.331913858015148,0.870005069969621,1.65873127812561,1.37096518995366,1.26152963335704,1.31696916954862,1.2720006150422,1.20133426073869,0.662503537479563,1.20412513713571,0.921057972050599,0.190436091367772,1.11331070665518,-0.404885213875671,0.588348534417803,-0.686118094425324,-0.347173392602313
"Listeria_As_2 (GE) - TPM",-0.7629146457088,1.69357990086008,0.831667191897054,0.445541233498277,1.18237317898733,0.759223932817755,1.1437440749466,1.52708740659445,1.00455124831415,-0.997550753521289,2.20043734486131,2.46112853520605,1.29983867730902,1.30145473455132,2.05721496925863,0.600243390648847,0.03467304176131,-0.219150601582247,-0.294328568796953,0.729374095621275,1.16640197218729,1.31111361945724,-1.41418928505309,0.34025863723259,2.45996041617219,0.0255656086679779,0.97674317518445,0.994807912820231,0.57421462050969,0.832194555622705,-0.6915041344431,-0.537891977203413,-0.445757562807812,0.177931576543799,-0.84833074371448,-0.575153378638212,-0.443518059615826,1.05312697254912,1.71476042706917,1.37548153657842,1.25358611804653,1.58394470082694,1.37742195519165,0.937477825800184,1.29778928978989,1.17030968258974,0.501956391940312,0.622445212982625,1.0928099516335,-0.593297695601015,1.70032979481087,-0.483075612016357,0.541210256670295
"Listeria_As_3 (GE) - TPM",-0.770595460964614,1.05562127773885,0.940596725201006,0.548068868315699,1.25730328840483,1.31590711587235,0.837654377367651,1.37631763019292,1.36452978194571,0.396599710810406,2.51536084314423,2.61414301188684,2.11068700288112,2.13663926492173,2.29509070016996,0.865314492148472,-0.203787819859864,-0.120018710180286,0.215819966539662,0.977339222210973,0.644969723100444,0.1603570499977,-1.7431709089532,1.02995374011889,1.97048620800738,-0.0330450086930064,0.975679919853502,0.70265682734886,1.06047749103776,1.00156006027778,-0.696594923272158,-0.53011482631086,-0.516298223753111,-0.103690846531595,-0.275264768053507,-0.491748639173557,-0.486135913365638,0.278994864274168,1.56640733456483,1.06620315418235,1.44664138207412,1.17815495751489,1.32356351952222,1.10438560955172,1.13469427672371,1.4581030202984,1.17442433491326,-0.0166788326118837,0.591593249389489,-0.53375282563463,0.85233192491922,-0.833934123186895,-0.274477217746675
"Listeria_Bs_1 (GE) - TPM",-0.189477591305511,-0.0455117787430577,-0.437309888973594,-0.0861233734217439,-0.228159888880182,-0.194413204639276,-0.580450445572191,-0.0759296800784846,-0.118550644137894,-0.550219976446101,-0.725085498752472,-0.676867656655677,-1.00178415451306,-1.14518636634421,-1.29171173909841,0.211957467761825,0.227066904331475,-0.0486816151232373,-0.590847104697798,-0.479737991298375,0.941213213912111,0.751400855690034,0.880700796370613,0.808863138056604,-1.02286135574466,0.195705989225854,0.17812614491776,-0.402344486124539,1.57250434432333,1.85863230723447,-0.66131514831056,-0.518628502777335,-0.534900147857838,-0.981499894883181,0.0801731320932669,-0.0845980012287254,0.0383540788446168,-0.12835570894164,-0.369757944521256,-0.533051361433653,-0.485035730243561,-0.520056165460855,-0.505235056684042,-0.69813666036255,-0.591011733439224,-0.00672140911530122,-0.263051638242566,-0.0982820045822661,-0.174836303270766,0.136568846644277,0.583730035785662,0.744937862961793,-0.737099109593259
"Listeria_Bs_2 (GE) - TPM",0.190049586817862,0.061950526825487,0.0329197854228787,0.15988176710531,-0.150155428831464,-0.227494152113497,-0.266168591142231,0.022469150876542,0.0835242841021745,-0.997550753521289,-0.724565057299813,-0.56054383491794,-1.00853371390048,-0.99992454537785,-1.14444736830691,0.175479880698996,0.353672489396399,-0.112055800979806,-0.102535100045511,-0.321531826954685,0.839223979911401,0.495106987012258,0.677188583952022,0.930287609339148,-0.92574520921876,0.239282659764235,0.569162694714836,-0.390456934900929,1.19539018173185,1.01795737693661,-0.648547153493517,-0.513450301726251,-0.498757308525774,0.798781782766775,0.16957488313134,0.064688974530208,-0.276986002769795,-0.154576900655874,-0.293081204610761,-0.444866105316843,-0.535675429483175,-0.367535973903723,-0.496127873569424,-0.643626585640639,-0.552115673876286,0.0224792352924334,-0.232316932286812,0.180596043588271,0.471812740783923,0.0857077227625604,0.240259708422691,0.672500173104353,-1.0829978429286
"Listeria_Bs_3 (GE) - TPM",0.281625935703317,0.644199060124562,0.64511142035041,0.400712728791465,-0.11069661099385,-0.117877240685058,-0.488047810211972,-0.143223449354975,-0.00281221477757756,0.696426209069142,-0.563771646492159,-0.420041367387324,-0.841842002125891,-0.886559465184719,-1.42308010585895,-0.241187987829297,0.19991537965696,-0.280344377205099,-0.545793370404228,-0.253270555628082,-0.0919511993583317,0.686525115888514,0.0739823648778939,0.643794885019382,-0.708042884975743,-0.0285161112113805,0.219461830664014,-0.518988762001434,1.2725955702853,0.791772831482749,-0.628089267046553,-0.557581808510849,-0.528396096392432,-0.902346544930126,0.574442812026449,-0.0670365320214559,-0.174929470053881,-0.54169650220707,-0.161986512198521,-0.26037368164397,-0.299901314848996,-0.394956050159836,-0.318601929856133,-0.516230744447865,-0.319400179870037,0.641167270601872,-0.0310946788017577,0.00280233398348872,1.23560706306338,-0.241316299810178,0.534389674869345,0.904384876147512,-0.646375016103063
"Listeria_Ctrl_1 (GE) - TPM",0.601622388036244,-0.602702583493693,0.0893353295833182,-0.433624691954828,-0.433547708943643,-0.190086235730332,-0.712088961544655,-0.279042707596319,-0.439551960159449,0.464886145041441,-0.147699649785705,-0.153073993999106,0.703345234884329,0.262659076058326,1.02781623321909,-0.583652024626953,-0.367261051512589,-0.052356322351599,0.442988360756832,-0.626549212490004,-0.105726888490142,0.0900106548440576,-0.893515550241717,0.197027172824149,0.8172398131978,-0.240581637385375,-0.300810659023015,-0.323146501815317,-0.618993148005066,-0.342847982961973,0.37600472477633,0.527127363225248,0.454726972014744,-0.168993416792197,-0.512570533148557,0.0526071352861408,0.0744356814378966,-0.638367420602517,-0.385784721867602,-0.264440076129291,-0.340179285758595,-0.231767134517361,-0.264997433137617,-0.331171825032416,-0.427457928388669,-0.261344208135366,-0.445139336645079,-0.214639969147955,-0.828937162453643,0.595106536244361,0.91446905779214,0.697684405028778,0.00594958118072746
"Listeria_Ctrl_2 (GE) - TPM",0.499560504086961,-0.565253311215289,0.721401117054748,-0.374928061555153,-0.362972044985896,-0.153171805472709,-0.665930426657488,-0.431195828235747,-0.371277514894157,-0.470194699712862,-0.156104922914953,-0.106845798090169,0.465667496313045,0.208321542764261,0.570215092952627,-0.632203661265856,-0.267167028454544,-0.0069509803098025,-0.159434847633673,-0.571983030942673,-0.0132410298982106,0.381396600205226,-0.716817937700264,0.166112468082183,0.697440480771302,-0.277938962707965,-0.259356528818377,-0.211877385263049,-0.432122097190344,-0.158066995139514,0.199573828663536,0.163477660046888,0.200946471437225,-0.652317541518354,0.0339010993554232,0.0549564247165109,0.16898974843769,0.0721137093682254,-0.190663747536996,-0.301764703319028,-0.352076419128002,-0.235562868132898,-0.158333055803937,-0.346645944970061,-0.364583219894661,-0.267089850587455,-0.49420897176748,-0.225088760703459,-0.523399192240194,0.767377682878648,0.85282648349416,0.802008949816883,0.00441099963870707
"Listeria_Ctrl_3 (GE) - TPM",0.481530438858144,-0.372029608969293,0.399881847964189,-0.172174542990034,-0.236765953243738,0.0247732974298181,-0.552355164171359,-0.103947338335476,-0.32730563279645,0.307688770501698,0.0551030079259921,0.126277525774377,0.309158526721501,0.241934746974197,0.933002117643037,-0.435483937923947,-0.104690002990954,0.28935727830543,0.685248135968421,-0.566042376606407,0.59991857235881,0.081982495798166,-0.775178432613975,0.438366928240313,0.923597768589298,0.032608168266674,-0.037599757643135,-0.194507652452502,-0.367877170548085,-0.109480614450869,0.245582669900892,0.251741820805761,0.234181338008822,-0.036069368286269,-0.0414618621849456,0.292361725064754,0.247301715622124,-0.159045236916908,-0.347474009403898,-0.147358232371846,-0.217623368562814,-0.15521437726005,0.0547055772554183,-0.180001968190254,-0.285366324266949,-0.0927211425676314,-0.169599632574724,-0.312745186093553,-0.646124306978154,0.170345922036829,0.732456374157634,0.0103743535060128,-0.185862666038327
"Listeria_Li_1 (GE) - TPM",-0.566443623341792,-0.742012265254292,-0.655250475468337,-0.469633423254737,-0.577083505763616,-0.63193080571755,-0.200749597466145,0.600627383205253,0.22386916806387,-0.314226709506642,-0.322850266031168,-0.565155150794059,-0.184830283112926,0.347889998698917,-0.167160435030573,0.548227616911925,1.24046502191613,0.923312239557282,-0.19605797395683,0.930012761592135,0.149232601571372,0.435205891996123,-0.0257150238549406,-0.0598436415121886,-0.944191594369394,0.047841966019051,0.504108134227751,-0.136336778579984,-0.12308777739867,0.0453567957183144,-0.326690425409911,-0.0725545798120307,0.080093198772099,-1.07009503312237,0.909733146932923,0.673692200263558,0.268664456967324,-0.107767525411782,-0.539375947776061,-0.415424971098759,-0.521132110535022,-0.239536784429488,-0.466858371707647,-0.465611303916716,-0.184275851208009,1.49464218841496,0.272088473867468,1.40243824059161,0.452338740885168,0.333565693662231,-0.171465748240645,-1.52644338497051,1.03052470773492
"Listeria_Li_2 (GE) - TPM",-0.57218401538384,-0.649126190311848,-0.855047983729841,-0.552768000613887,-0.729279101493109,-0.663945912698875,-0.40091119939448,0.716839062974748,0.449204205719935,-0.264179492816651,-0.557410770936357,-0.53316414831284,0.0361936572713572,0.0318453746368736,0.117478905214975,0.648019308127967,0.649398877691298,0.580015466797152,-0.239098483831348,1.00155110059682,0.669477979025805,-0.191872279617424,0.081161824470698,0.423805914666418,-1.3352846376568,-0.129705611231716,-0.164236868315552,-0.260599470539686,0.660731405812075,0.0671315664813984,-0.520135467532618,-0.256131611737163,-0.212798484994461,-0.247032819307414,1.01175209264052,0.930238676404379,0.492737263018306,1.17506515903374,-0.718415649700444,-0.672312798781251,-0.640974823439839,-0.63335967387486,-0.572561317400449,-0.523174997921286,-0.326277749459165,1.36406900761309,0.563772435453769,0.327036771513852,0.241539628929229,0.856032502741019,-0.631620342419982,-0.743907874095327,-0.673440302767524
"Listeria_Li_3 (GE) - TPM",-0.437588837140146,-0.727855948049516,-0.795984431812434,-0.618535843640018,-0.726532597394497,-0.714062660745665,0.174343374823702,0.447820450703597,0.063000390274995,-0.364699245918809,-0.597513122482744,-0.587073270528238,-0.307019045955363,-0.557708703578129,-0.382470639413647,-0.0221188665543809,1.0777786336856,0.577380463071165,-0.0164424960062486,0.931447842038554,1.50396637577727,-0.250600395924265,-0.206873778630758,-0.400562747335274,-1.27805401221454,-0.123762764786121,0.346338179463505,0.034945121394704,-0.238500399211953,0.0086766169762923,-0.28961048656303,-0.100402581954304,0.12933131157032,-0.0673906424053057,0.159111670911103,0.883826358720115,0.495053817338595,-0.192059226714958,-0.693422020622064,-0.700271313246351,-0.730730682634362,-0.571333881175009,-0.537503172662781,-0.555577507836245,-0.196701348993913,1.14460763676285,-0.158982191687729,0.687327568707253,0.385330760941333,0.413854642208597,0.581156844260039,0.848668980603068,-0.59364511816102
"Listeria_Mig_1 (GE) - TPM",-0.980482671107284,-0.852703903635853,-1.11607279427374,-0.818467043603576,-0.8997989905791,-0.899937918312617,-0.966871349231359,-1.04307499874646,-0.861067250861205,-0.997550753521289,-0.771090477220938,-0.875450725308357,-1.2227722862307,-0.0585988719252722,-0.371628326848733,-0.76423583785021,-0.885919377715211,-0.766698016867698,-0.855520865795241,-0.766851559017165,-0.579152139679557,-1.33707030351343,1.54939209217151,-1.6904192389848,-1.09967020845867,-0.975081405390318,-1.0567788913538,-0.880260055921372,-0.869121856549291,-1.19873276003889,-0.703805474909266,-0.594186899908122,-0.534032057637259,-1.07009503312237,-0.933311766786513,-0.789362377778884,-0.731846891559157,-1.24895340594042,-0.925375481133044,-1.00884073159978,-0.968033254020206,-1.02927727578317,-1.00490733187012,-0.857810383070933,-0.724077838033969,-0.874602742949264,-1.21339148814696,-0.93923972798932,-0.00464221236640891,0.727772484312814,-0.957010295620421,-1.52644338497051,-1.0829978429286
"Listeria_Mig_2 (GE) - TPM",-1.05028244892935,-0.83521378785842,-0.428927408207698,-0.809939898957566,-0.902735211690238,-0.952438514064504,-0.954589341463078,-0.938855402842834,-0.78990655510995,-0.997550753521289,-0.817906427060864,-0.945042062683401,-1.49385734830429,-0.808362380702647,-0.418630997284677,-0.97882192595018,-0.888017740499834,-0.805975311050919,-0.329060108242887,-0.766676461976651,-1.11893541305482,-0.136159631049967,1.87179397219616,-1.61892987544022,-1.46778099805437,-1.0043870304495,-1.06660501476321,-0.764364571465145,-1.05221495693752,-1.1220968887377,-0.670391050758993,-0.585732738960875,-0.508594850515299,-1.07009503312237,-0.933311766786513,-0.746119290947808,-0.731846891559157,0.452701614664682,-0.987898981636684,-1.04033894183381,-1.0194292456206,-1.04990343916653,-0.998687950105426,-0.874443027656999,-0.765572377433011,-1.03226876553059,-1.24232410310216,-1.0805976856092,-0.350001905561297,0.789014152060671,-0.926998858172359,-1.0765545155252,0.492769226243527
"Listeria_Mig_3 (GE) - TPM",-1.01328787797237,-0.830608154528761,-1.11607279427374,-0.798103932418053,-0.520397013744371,-0.955643261133846,-0.922656651156647,-0.986155193525024,-0.808042766172176,-0.0242606077176352,-0.77663368984024,-0.92680264412468,-1.41958091543583,-1.28322785666072,-0.909757807722791,-0.786905967771953,-0.840306714864457,-0.798635206836089,-0.499571373555201,-0.898875935718089,-1.41916547461849,-0.211143429161126,-0.439802660023575,-0.979370943552944,-1.63986063347711,-0.98593216695099,-0.966003835161475,-0.722110138705193,-0.93321723229019,-0.9990592166137,-0.656784518964721,-0.526753807710799,-0.558040056664723,-1.07009503312237,-0.723301014973355,-0.631469532455667,-0.705456618563876,-0.436231402927754,-0.968612209111452,-0.784022783841735,-0.945591590502769,-0.861704826730038,-0.933617275881937,-0.865051294487742,-0.73482005389605,-0.88665623238328,-1.3019120974148,-1.11384518001887,-0.449713909666711,0.0199475062156804,-1.29514097046856,0.192516467905898,0.422196280162629
"Listeria_Nd_1 (GE) - TPM",-0.0503745563697123,-0.658952790260458,-0.457671315443338,-0.741062813157481,-0.477484750614756,-0.165469576715737,0.134631497288292,-0.258964233252155,-0.852506097875348,-0.997550753521289,-0.369294479706383,0.449529779102246,-0.606071110094609,-0.978136897940743,-0.175183570499154,-0.918029369416907,-0.886197504826805,-0.785487045142025,-1.38289512171078,-0.562847659179182,-1.86733856139747,-1.72101395062802,-0.569707401097191,-1.24989378488143,-0.210238563839183,-0.931188112818041,-0.952061882113054,-0.830163451805544,-0.975266264508579,-0.568574653716459,1.56173600562536,-0.538225352307565,-0.552459223272055,-1.07009503312237,-0.933311766786513,-0.747342082092088,-0.706768224137088,-1.24895340594042,0.477654155554364,1.2229126748173,0.773069697468047,0.733944757744104,0.417777901154641,0.536630486593281,-0.458153810187769,-1.18332276078467,-0.932197337715729,-1.27701339090756,-1.59724123014384,-1.50953704761991,-1.68506353331964,-0.981934397602681,-0.924066125114334
"Listeria_Nd_2 (GE) - TPM",-0.388293067531117,-0.596998516175982,0.275127220658704,-0.694165344405186,-0.41171106715916,-0.268947248415224,0.142258857120996,-0.616266748328995,-0.803201464062044,-0.997550753521289,-0.548816068265538,0.207500530887402,-0.795410576979788,-1.21510754504385,-0.388515225366572,-0.97882192595018,-0.85850367906114,-0.777286700976946,-1.45886299690317,-0.681655074061773,-1.76036381949466,-1.81041309270974,-0.505183844403113,-1.05866778134417,-0.413757595544923,-0.899241091941075,-0.884669913460847,-0.853443722237791,-0.673053450438473,-0.635499834364292,0.83381478676165,-0.507785102973372,-0.538645423983772,-1.07009503312237,-0.933311766786513,-0.736587925378803,-0.66472478560737,-1.24895340594042,0.266678311538894,0.51887761983169,0.395463748562801,0.511338451484829,0.188796236389439,0.296853247051141,-0.522648187341667,-1.00741347354511,-1.11586086028118,-1.30849498122595,-1.6109198129382,-1.48825719273872,-1.52150206018286,-1.16210395132743,-1.0829978429286
