"","B4U56_RS00125","B4U56_RS00360","B4U56_RS00615","B4U56_RS12150","B4U56_RS00650","B4U56_RS00680","B4U56_RS00685","B4U56_RS00690","B4U56_RS00940","B4U56_RS01010","B4U56_RS01015","B4U56_RS01020","B4U56_RS01025","B4U56_RS01185","B4U56_RS01195","B4U56_RS01205","B4U56_RS01220","B4U56_RS01315","B4U56_RS01320","B4U56_RS01625","B4U56_RS01650","B4U56_RS01655","B4U56_RS01750","B4U56_RS01885","B4U56_RS02190","B4U56_RS02255","B4U56_RS02355","B4U56_RS02360","B4U56_RS02400","B4U56_RS02900","B4U56_RS02910","B4U56_RS02955","B4U56_RS02960","B4U56_RS03590","B4U56_RS03595","B4U56_RS03695","B4U56_RS03700","B4U56_RS04000","B4U56_RS04280","B4U56_RS04285","B4U56_RS04290","B4U56_RS04295","B4U56_RS04305","B4U56_RS04410","B4U56_RS04415","B4U56_RS04540","B4U56_RS04555","B4U56_RS05060","B4U56_RS05115","B4U56_RS05150","B4U56_RS05470","B4U56_RS05570","B4U56_RS05620","B4U56_RS05940","B4U56_RS05945","B4U56_RS05950","B4U56_RS05955","B4U56_RS05960","B4U56_RS05965","B4U56_RS06095","B4U56_RS06100","B4U56_RS06225","B4U56_RS06235","B4U56_RS06285","B4U56_RS06290","B4U56_RS06420","B4U56_RS06425","B4U56_RS06465","B4U56_RS06545","B4U56_RS06730","B4U56_RS06735","B4U56_RS06865","B4U56_RS06870","B4U56_RS07135","B4U56_RS07195","B4U56_RS07230","B4U56_RS07355","B4U56_RS07360","B4U56_RS07680","B4U56_RS07720","B4U56_RS07725","B4U56_RS07730","B4U56_RS08025","B4U56_RS08090","B4U56_RS08095","B4U56_RS08100","B4U56_RS08295","B4U56_RS08300","B4U56_RS08330","B4U56_RS08465","B4U56_RS08545","B4U56_RS08570","B4U56_RS08955","B4U56_RS09165","B4U56_RS09275","B4U56_RS09280","B4U56_RS09330","B4U56_RS09420","B4U56_RS09430","B4U56_RS09440","B4U56_RS10505","B4U56_RS10560","B4U56_RS10565","B4U56_RS10570","B4U56_RS10715","B4U56_RS10720","B4U56_RS11105","B4U56_RS11110","B4U56_RS11115","B4U56_RS11120","B4U56_RS11125","B4U56_RS11130","B4U56_RS11440","B4U56_RS11625"
"SEPI_As_1 (GE) - TPM",-0.593197622083701,1.5284117347292,-0.412954767930987,-0.416002673703909,-0.219972400014447,-0.10386799740427,-0.190444341834282,0.0941598898932649,1.02261017584339,-0.401124631979093,-0.381516763235388,-0.371809713835975,-0.267689228880648,0.188254137731676,-0.23514485720195,-0.515501125839329,0.1621833713729,-0.37375482853006,-0.484444162740209,-0.348039053533013,-0.293598674614675,-0.240027558054516,0.151835231520521,-0.117961367466467,-0.321874428061233,-0.912979394043223,-0.424531856879634,-0.308619759126588,-0.0115379215025385,-0.686423749045459,-0.509927699897732,-0.465513750338737,-0.305716475025364,-0.0680071966351914,-0.341017000495802,-0.202980306065606,-0.545947204745107,-0.169129295683763,0.16898737826683,0.199483553481343,-0.358720612784246,-0.527367931333028,-0.181316596731312,-0.571884789997859,0.498946767920608,-0.646014176369722,-0.180218230495644,-0.300678754624108,-0.398014299628885,0.117203464092038,-0.736035792406742,-0.313963626007314,-0.687665629974763,0.290897051708578,-0.261295049180244,-0.548356006159493,-0.634797857455033,-0.726347059720005,-0.640889622532571,-0.996158321199081,-1.06121325544867,-0.27614637686755,-1.09578350523513,-0.239100723289019,-0.474775443292098,0.331468784032096,-0.133499028801366,0.221369672378262,0.0191801839912046,1.06659762980434,0.0921887978337808,-0.543392084333476,-0.494937420953494,1.77956495318698,-0.329084724516564,-1.43496191896033,0.279663570394132,0.867468674796081,-0.646204818832917,-0.657076252153661,-0.73552102850693,0.684386865724525,0.678903535522555,-0.344433184729657,-0.243672510518488,-0.53276563906116,0.442065172584688,0.424498823349568,-0.614694156705569,-0.519322425009031,-0.595391212048365,0.24131299474456,0.460308449524463,-0.971108230236919,0.218358349911132,0.7540835129357,0.318532878159382,0.816540043566769,0.970426363804263,-0.017312770431457,0.720213589491333,-0.408129030523363,-0.397842536794757,-0.378105582442282,-0.807526392292695,-0.758574350670893,0.165254937147803,0.10738837162996,-0.0271948921638315,-0.0415815336413984,-0.0425067095283973,0.511588123671812,0.734134200340188,-0.264205042705638
"SEPI_As_2 (GE) - TPM",-0.575574099951161,1.53233902421926,-0.395845972540268,-0.179858297105614,-0.20413104627047,-0.141014175006373,-0.206054904499354,-0.0141235047630889,0.994892144149705,-0.40188083834573,-0.382205448638475,-0.375597635138514,-0.27313811594889,0.382171682739413,-0.420296163551558,0.404627008720302,0.350199596962147,-0.385740865320684,-0.497765913857848,-0.434423385353116,-0.29436580374848,-0.243349706296621,0.291919998013748,0.00975389113557132,-0.413368951947929,-0.966886386679418,-0.59363215468765,-0.557562447833497,-0.330589085454439,-0.740617326257338,-0.510464998450064,-0.397693430688311,-0.322947973491363,-0.588104058475855,-0.342896365569269,-0.2089946233158,-0.495224802131132,0.086684592855796,-0.00968488837655686,0.228055153845232,-0.619889854996978,-0.489729297356278,-0.203346042575776,-0.483201605840211,0.297243664824356,-0.733858468111714,-0.310006218996032,-0.126260030804896,-0.435778597899809,0.32705921931345,-0.873051248652201,-0.307653481930506,0.0562630984160193,0.411853122942455,-0.36929600271926,-0.489595383112599,-0.522816952994027,-0.711906279379944,-0.717234247774733,-0.868446647898979,-1.12740277732988,0.185970214446357,-0.856611921274882,-0.392910527480136,-0.536650640048757,0.637422767370765,0.0781195195215551,0.328121054896146,0.270581541243139,0.868006870949636,0.451515959242712,-0.547103593520683,-0.483705716393164,0.240694068460426,-0.316246335129461,-1.52244921904016,-0.314657389934619,0.310174105019125,-0.503502711913779,-0.647873493848709,-0.709177230802015,0.5580494826494,0.444545605692825,-0.399958920557388,-0.241292980191061,-0.477221826844298,0.785451508168601,-0.191931221424368,-0.611158188502239,-0.522436480144963,-0.740242026825084,0.138301520121486,1.0758248534974,-0.932388818123705,1.37517797015327,0.533980423571957,0.796044985513018,0.302757473426626,0.882586604080806,-0.0562708197170896,0.751706292582214,-0.408428052069968,-0.400153802620873,-0.377192096366193,-0.829382190516456,-0.755937171066163,0.406335816556332,0.517448442875691,-0.023655979356499,0.0553622295058675,0.0560778466132677,0.277442530777497,0.638333747939561,-0.13080499222317
"SEPI_As_3 (GE) - TPM",-0.580378051439308,-0.13286576201354,-0.387284518696259,-0.220610744179447,-0.0413579612786548,-0.211086126090092,-0.250118291490465,0.0558778100621542,1.11892420186303,-0.400995114395413,-0.382427626719443,-0.374906874883538,-0.249143118650134,0.57904866071473,-0.592177189932621,-0.187942917306465,0.32650685577816,-0.388044523287175,-0.486712363964607,-0.49369267812402,-0.292140223506954,-0.241159843048352,-0.530546451862904,0.0812250894785733,-0.385821111896816,-0.797101833921067,-0.175556535955748,-0.226750419071969,-0.306240413695292,-0.84175567487806,-0.536801725717685,-0.570561557745513,-0.0906765429857141,0.223516907140149,-0.347839429448262,-0.193036337118104,-0.85589311451055,-1.17051475924312,-0.145921114332606,-0.0734884937542232,0.26927746027774,-0.526642608662084,0.00593946301039614,-0.695475809533872,0.781745058663945,-0.497547484987541,0.00917389576301393,-0.102224780111611,-0.362732351830474,0.352962908222433,-0.971522485097707,-0.314758079583343,-1.24516578005667,0.412413890155484,0.0548241839508338,-0.565072796410166,-0.770281159516,-0.623253865382899,-0.685690963725269,-0.925075690760976,-0.971381060638707,-0.500854001351424,-0.247066948267673,-0.16012148661771,-0.381093283729199,0.344684642000536,0.138951426977572,-0.0564836600301335,-0.503267867101157,1.21395830558669,0.761506791949525,-0.530398295842157,-0.48216036937139,1.24097357533279,-0.323419618153166,-1.36967188511379,-0.207046126624433,-0.0329653157269097,-0.487641411551596,-0.66618010693611,-0.701476985013667,0.971044329035732,0.253785104000885,-0.456546445190294,-0.205566058604361,-0.640784234988545,0.540408134682829,-0.201185605699267,-0.615761036717695,-0.523387520605131,-0.491048025152849,0.151195968585736,1.28807851733655,-0.967116540733928,0.326076949090618,0.109415654758977,1.18125625535782,0.775103758075091,0.677031743557392,0.0827559596817007,0.472067914908632,-0.409126407413398,-0.392265036389474,-0.379521356098218,-0.791387923275516,-0.7307086108931,-0.0594586813310796,-0.0570319504552713,0.145459517655864,-0.325295510334386,-0.243193076107685,0.131426016251909,0.484388053937469,-0.2425086600961
"SEPI_Bs_1 (GE) - TPM",-0.5265676803182,-0.592082311668008,-0.414209594023737,-0.272843150352621,-0.161501039757109,-0.394933037512068,-0.215963340259172,-0.347385560671235,0.0987774755439951,-0.387892839392697,-0.376604685300344,-0.366398628976326,-0.507154765612198,1.19353620418972,-0.69953452677893,-0.959296065086716,-0.0396154203275076,-0.394465293802723,-0.501376263590168,0.179203628475438,-0.301821409070596,-0.2862712773597,0.193616937587124,0.743896442938819,-1.01245194944357,-0.958059469307017,-0.785553904651165,-0.752284584511335,0.117435276582756,0.339610426955812,-0.360585395626225,-0.468373898717779,-0.625328613753246,-0.266394988815119,-0.325931907147338,-0.356813241975806,-0.381297936957128,-0.286167007088286,-0.512344397763344,-0.61789696061154,-0.563074020485623,-0.50958652704095,-0.57309011919116,1.04043341804162,0.904873743441498,-0.810686529432799,-0.411988131312298,-0.52095860131623,-0.263783835429996,0.533109745705847,0.312651248581475,-0.313423729555949,0.215232722606154,-0.473686524061653,0.552887100536192,0.246734479825423,-0.236594599536877,-0.3580354658195,-0.543848899672385,-0.953541957593161,-0.507106181158946,-0.563292660668769,-0.586433102475512,-0.602140404702732,-0.538098010486878,-0.176203969137365,-0.77199485089739,-0.158145513630392,-0.2583617548665,1.10018098925375,1.00968219038496,-0.35781092584328,-0.3838551486393,-0.539723994206985,-0.297688965042039,0.0502253988598547,-0.871774646646173,-0.89823912664563,0.878890837573878,-0.270716325952886,-0.226262343973658,-0.37363115655278,1.1090752781343,-0.372636134576475,0.319949339104423,0.00598128781989088,-0.199724471873372,0.0568410038202717,-0.185565860063668,-0.451681859204994,-0.602100669304781,0.485334150421943,-0.988824052550399,0.839470013392173,0.153029697845675,-1.18632953336927,-0.0081659472663583,1.35604013493663,0.444489093988153,-0.64679698587728,-0.742332831689189,-0.32624986141938,-0.325221289438098,-0.306873835179364,-0.491233814403369,-0.543034560138644,0.591040127728508,0.164936649756523,0.241551315173425,0.571186109730363,0.376555114265511,0.169493747961983,-0.30256248409231,1.45823734003269
"SEPI_Bs_2 (GE) - TPM",-0.497632371999598,-0.685327709767555,-0.419225805248884,-0.550932778138889,-0.0344184009476291,-0.304520265775078,-0.340511627222364,-0.696850255248759,0.343915906394582,-0.401781046857753,-0.368405816223751,-0.365521262571579,-0.422457948206999,1.48938935385857,-0.740101233305803,0.973053940998635,0.22901563992565,-0.3915570646733,-0.503515411255823,0.0475660235834677,-0.303594986466371,-0.313007726669654,0.501145884395577,-0.483947692882329,-0.790886410463411,-1.28664540380857,-0.598930452657636,-0.212978760465476,0.543802692120919,-0.598330425237853,-0.391514467431535,-0.697177485446476,-0.479903889531111,-0.336876307380771,-0.320027767645217,-0.40674896168386,-0.460541351759473,-0.54083537942463,-0.616728376247859,-0.347274413110206,0.585467524135746,-0.389619822761315,0.468490013866257,1.10946025959052,1.01049772734708,-0.644724226897716,-0.406415616650756,-0.746649011885528,-0.250113694417669,0.873965942847814,0.584482296964294,-0.325426615802886,0.534485440920436,-0.337633908862958,0.361402261667484,-0.432156802963443,-0.346835716927447,-0.566520928488638,-0.705621506544479,-1.06956652673975,-0.634760421473079,0.0981010625643164,-1.01301421685807,-1.07041391110635,-0.593378310631304,-0.95872397930829,-0.485714868835904,-0.0626379500985961,-0.596303417993329,0.936674061657522,1.86110498296195,-0.430820319283507,-0.39887301325646,-0.539723994206985,-0.301178019443231,0.423017443214966,1.10242326314841,-0.458473759798215,0.642943378015975,-0.472806501625307,-0.410118477378634,-0.794299543388476,0.247730005286803,-0.138423958584963,-0.494924853701484,1.19823877880439,-0.759866704224167,-0.378300719391031,-0.0290005339704525,-0.46114430101344,-0.420302126433975,0.51613921174138,-1.74945834065885,0.706779171207054,-0.962938041084016,-1.99601222948706,-1.22241365315567,1.75844881307375,1.16044874962991,-0.689599876969629,-0.628877759382867,-0.335836121759141,-0.306158418035874,-0.300007973308088,-0.680439420818611,-0.504063418385576,0.151626179148708,0.241712164121494,0.0141332432195949,0.0099747177396241,0.181845399086088,-0.0399020609448287,-0.338645830716714,0.536440094198122
"SEPI_Bs_3 (GE) - TPM",-0.519272837322449,0.105498399450755,-0.409057953148775,-0.553996058878465,-0.178359594911365,-0.267344551193564,-0.349350555224873,-0.175206993740394,0.664985895591159,-0.397589586336415,-0.381889157174435,-0.369770817760686,-0.414843437357788,0.438744048647845,-1.06079533030907,-0.330649854470579,0.0741796982827578,-0.385536962256564,-0.490133660341154,-0.0458372604684366,-0.299075581859933,-0.315787341173748,1.10919953743904,-0.142512406464203,-1.04489823119663,-0.963600800599137,-0.329388198025705,-0.505371270101583,0.350666605979988,0.0306483057143419,-0.301492013661422,-0.683510075529477,-0.712853648517075,-0.368535200420867,-0.321940010163774,-0.435477973519365,-0.702693380144961,-0.790387860474313,-0.47138145494405,-0.630267590488457,-0.436873921675164,-0.433406831085198,-0.657018837983795,0.346827785629084,1.17787922471462,-0.672385211730309,-0.537216075326302,-0.730511092602634,-0.310964995984334,0.85726902631746,0.450984622890513,-0.315259334477094,-1.24516578005667,-0.414867289862384,-0.536649063795807,-0.548634019268696,-0.641009923888708,-0.763686927619381,-0.47614639476771,-0.996676750988094,-0.648042747838123,-1.71408371845909,-1.05558957565494,-1.01125974401326,-0.718590686869365,-1.17196825839008,-0.715759892666714,-0.356112233987886,0.306036897108885,0.301728281540181,1.46919685628483,-0.460721698264529,-0.39833476480924,-0.207352466160454,-0.287225294613035,-0.135199486491341,-0.961981124961671,0.687411853377337,-0.305363218850032,-0.387431847140862,-0.533948330752311,-1.02731675243433,-0.609269701883538,-0.203496354766733,-0.386905809259885,-0.640784234988545,0.11861868941979,-0.88950494956534,-0.0983907560919935,-0.443142054625125,0.611344670934168,0.77573110386898,-0.286339663961251,-0.0812414798633761,-0.0162392847891235,-1.21761825256039,1.3690991952054,0.770092770221035,0.163764547721466,-0.660207935555431,-0.408038995410806,-0.303457237231361,-0.310959674256265,-0.300475341565474,-0.54990563658388,-0.557665026888399,-0.0230456335248983,-0.173201231166229,-0.482200749368776,-0.50531221761011,-0.41293458849663,-0.883007068262165,0.248572291585507,1.24251250880078
"SEPI_Ctrl_1 (GE) - TPM",-0.400083440629714,-1.23016150688791,-0.334649175783903,-0.357308557198929,-0.387917706258355,-0.202400724641635,-0.274407183692414,-0.53410729472412,-0.430539919334019,-0.392043662029228,-0.38524361709427,-0.366760588248462,-0.488657300760879,0.0247530290196907,-0.151531965276178,0.539811867123422,-0.599103638574674,-0.401280201342115,-0.503414607607762,-0.706524795842323,-0.304770349776636,-0.318964173176422,0.255194858215375,0.633056490404042,0.881272093229061,0.0273875977794459,-0.147276238538218,0.101537802810393,0.789443342545259,-0.509613386983521,-0.0445186436189098,-0.456348550555402,-0.492942164746737,-0.11876052278618,-0.309670746408983,-0.385708823890554,-0.905284493488871,-0.297234759023098,-0.433194325671171,-0.433087460137152,-0.73755967964812,-0.443649086866257,-0.833833033360204,-0.287159735037591,-0.56853236839182,-0.586435634980888,-0.410202859175961,-0.570582928872925,-0.19734186489878,-0.675942656663078,-0.582463076777504,-0.314935892960643,-0.121473036694515,-0.624600037936072,-0.277455924431398,-0.360547649417206,-0.159572010107712,0.0637946678542786,-0.253452226449001,-0.593026933055319,-0.148247643020565,1.23105137033603,-0.0224165796371661,0.258447655965058,0.191414412048414,-0.451677349994381,-0.689151280160315,-0.691612072104166,-0.882138755578324,0.111185694492499,-0.0670767947375489,-0.169851144242575,-0.197579127502515,-0.539723994206985,-0.316254238487979,0.0898912490534986,-0.363691415180678,0.494354791326883,0.534772107275321,-0.0671765903436403,0.219449605892192,-0.506831211421642,-0.546861221065881,-0.391982282107855,-0.494924853701484,-0.640784234988545,-0.838940750100416,-0.291197965369838,-0.458604226337629,-0.47951997457446,-0.702384506749068,-0.382777137640585,-0.619297535047929,-0.691571933428313,-0.100526845125655,0.62285831870061,-0.826385902794797,-0.380316507416265,-1.08075710004826,-0.289795370289174,-0.382204588799736,-0.367242431730666,-0.354728070238898,-0.337825902229676,0.0136036845680793,-0.17893905614961,0.767405721294613,0.441711238301659,0.321316849779405,0.207160179563498,0.182685580120511,-0.0512511605593411,-0.228096632436572,0.557429242374025
"SEPI_Ctrl_2 (GE) - TPM",-0.442217018874557,-0.0115350311750452,-0.368478228818304,-0.145122821701085,-0.281768242522328,-0.127471678902973,-0.316564476761129,0.0192111318493812,-0.705272645285972,-0.397030260966953,-0.382471201531392,-0.372428431588068,-0.612019805391241,-0.380897190448096,0.177409507055899,-0.763567289746155,-0.451448744367986,-0.403742905147841,-0.503125110613012,-0.798088381586837,-0.301321013663676,-0.316376909067101,-0.196274540013366,-0.545433185286951,-0.0847891265537621,-0.0992017781384493,-0.109075273859184,-0.697032558168246,0.00594981620328278,0.206988385624311,-0.106811395267114,-0.595057161892922,-0.476053081291402,-0.660738519317511,-0.310028571761519,-0.391678375547456,-0.87804299043595,-0.225935231670215,-0.355084035071448,-0.580775655600012,-0.73755967964812,-0.499855537440506,-0.406134833289231,-0.21579485721329,-0.269073086102588,-0.583517047366651,-0.664538636504245,-0.487059802669975,-0.226647840253679,-0.528097378912404,-0.482454189222284,-0.308395910439608,-0.385730004994056,-0.590213013251894,-0.422075409197627,-0.407833426694727,-0.114678935904911,-0.0240495328537451,-0.464084367589209,0.158390033795157,0.0470479635120839,-0.237616770332114,-0.210764549009044,0.213889802582108,-0.123936155191109,-0.748085042550168,-0.530966683587693,-0.578646307216,-0.782947729669555,-0.0523290334974122,0.162533835583943,-0.20957949175685,-0.0997368940614527,1.57902503015257,-0.312600674807058,0.0871501275596944,-0.386045051409774,0.116515034720696,0.584751291012049,-0.0383137168452665,0.0217254076267785,-0.100942567536011,-0.0932874165757779,0.810891916575301,-0.0358697992818807,0.543359526772676,-0.661129441338843,-0.620485523189233,-0.473968631590843,-0.491356440327183,-0.587707381393623,-0.256443089722571,-0.798708281757881,-0.514565188294308,-0.499891670422979,0.405242740845426,-1.04622633000921,-0.319117112430036,-1.27551408587025,-0.339560198641822,-0.259607894547571,-0.378250679953429,-0.366998132399557,-0.339488944325869,-0.175685883848047,-0.150100113974209,0.230896629045305,0.470147756245142,0.420351634641896,-0.11371479668693,-0.0277345255805103,-0.247526558557753,-0.4498343233772,0.786802258914387
"SEPI_Ctrl_3 (GE) - TPM",-0.424848056245767,0.397612898885105,-0.424049981473064,-0.0857666300912974,-0.337002524064606,-0.0406072881878922,-0.325615222073917,-0.307888056783558,-0.482934644084096,-0.402274089947004,-0.375780398422778,-0.376400486499437,-0.592910530960181,-0.500832668667658,-0.00459258466741535,-1.17075566565117,-0.471413528607821,-0.394739009136872,-0.505794063194289,-0.849525375233016,-0.303224282702613,-0.319094228007809,0.578399953472003,-0.631638979871563,0.175476710924964,-0.0819977318700402,0.237164929367154,-0.077267059366971,0.539217874974961,0.0764148209707739,-0.0873893846154438,-0.613056142419693,-0.434836801098044,0.160529019297945,-0.301550230611755,-0.373604656353271,-0.861268411179983,-1.10422221604653,-0.297680062177118,-0.613649858623946,-0.73755967964812,-0.4898232318483,-0.925325828309028,-0.484302590050396,-0.143092968474606,-0.574619923665132,-0.654276014563343,-0.815019658522748,-0.201968494001507,-0.547748970048689,-0.676534802146707,-0.307836783840195,-0.343286713235368,-0.459882436089973,-0.477471851504938,0.0100204543666373,-0.382807882398929,-0.0187786415168055,-0.370553385393942,-0.485139068765314,0.0336445427371408,0.969295251967998,-0.0322562855765669,-0.0677264131446988,-0.184611917285419,-0.93079344615782,0.313166766000341,-0.746051738291702,-0.676287275532058,-0.0394438725915347,0.351592367615696,-0.202150657948329,-0.176215112783471,-0.539723994206985,-0.33703263158685,-0.140936120438441,-0.819146839341057,-0.360348863060859,0.476080621357221,-0.101079843203027,-0.108661392094083,-0.544649443581133,-0.162853086672689,-0.0938107484028145,-0.494924853701484,-0.640784234988545,-0.879649556824762,-0.79847999477546,-0.444585636808867,-0.482777693557902,-0.384806872112665,-0.446946996911353,-0.0654538253206538,-0.785558054616322,-1.41150115356062,0.139788145618728,-0.189028757944093,-0.365046745499713,-0.974168631001701,-0.307154586447139,-0.107291614375382,-0.375756987650702,-0.358288343974489,-0.341234226524343,0.0102014045327229,-0.322533465833408,0.656542184652141,0.267149012935905,0.185411053730367,-0.100019556846276,-0.332629391286913,0.1217155061971,-0.3988757630035,1.68233330949614
"SEPI_Li_1 (GE) - TPM",-0.289274589448798,0.258833416164529,-0.387840597224704,-0.552144237505903,-0.44707827281605,-0.0290034096517181,-0.269869868397257,-0.611230042490842,-0.0925791355366123,-0.397034241799711,-0.388865785881544,-0.381130815352097,-0.467096976096932,0.177368779240554,0.0603705098840835,-0.107559686918617,-0.722416784005989,-0.397745367571598,-0.500110598407893,-0.650350689235727,-0.301054246295458,-0.290835625049508,0.827016522775092,-0.166928422809417,-0.897333914726384,2.84651828305648,0.70315289595226,0.884214247807426,0.488771682499039,1.19460409991674,-0.371958379723283,-0.232790809754929,-0.186965718056706,0.330749097724735,-0.330058244408738,-0.327508686650419,2.05692392566284,-0.0652279232615602,-0.404665093864859,-0.288619273574484,-0.73755967964812,-0.222710522303474,0.349891414250095,0.667979997177311,-0.697328588517228,-0.388855590142204,0.323379250138655,-0.384111208352764,-0.26979564722786,1.48798193241021,1.13280709819351,-0.312778580080544,0.275459091750706,0.227621906430118,0.515544747599362,0.506625493154227,0.0845606426216329,0.0277847004908051,-0.395655528654917,0.952024512238548,0.895406611597241,0.102005389111053,-0.417004264593294,-0.203133678278366,-0.230311599915476,1.12135562263372,0.642615273996142,0.306433480981816,0.208046517646226,-0.716206073227189,-0.781331798043922,-0.39398995968927,-0.391960971914339,-0.0711284114705415,-0.415670407711277,1.9815992879013,-0.212021329039716,0.608320741801442,1.26918609366356,-0.181183237157986,-0.176179611244075,-0.229116523888819,0.956056145129471,-0.252681373284252,-0.494924853701484,-0.444364839470395,1.2141851761013,-0.338709590420005,-0.317679079725036,-0.436851020477785,0.0484534115743294,0.754715748236696,0.345310889542179,1.61940320243961,0.104657626764941,0.0642617092521931,0.243057656244878,0.586914142400979,1.24534141690154,-0.162417350038356,1.70816450720335,-0.352573436152573,-0.349962191422653,-0.335963444149812,0.00788091870705889,-0.134376557029029,0.457121493626723,0.221608306188674,0.288670158467553,0.118347255812828,0.102773407594504,-0.221626716390297,-0.263520818787604,-0.0998505888035759
"SEPI_Li_2 (GE) - TPM",-0.414676878009028,-1.16077111656592,-0.439788228930073,0.0466135847544142,-0.0738944475572463,-0.522302327211094,-0.341527532067561,-0.733016781535035,-0.212121009503336,-0.384165837161883,-0.361417898974643,-0.380232605012461,-0.581824105466573,-0.892685630289217,-0.283429039176423,-0.10845220918942,-1.03449823913877,-0.393823067022731,-0.494598685142417,-0.833130736829207,-0.304651285707332,-0.310504499971602,0.228337380411532,-1.33302423265664,-0.404401009050361,0.949204246247547,0.223913080271385,-0.48652445431968,-1.16585142180216,2.99144003033354,-0.55611094854265,-0.420325006368335,-0.784166983688374,-0.748035041675988,-0.34422937727709,-0.458780188405314,1.18875864673437,-1.52903144632593,-0.557196279682179,-0.537222352542161,0.251045622647701,-0.510302503248004,-0.567083848238691,0.114090800273452,-0.961284041562403,-0.0216234916444396,-0.0703445705711299,0.650994131708214,-0.40159333107056,1.61479936032174,0.341880999964359,-0.309718373021086,0.232399062227883,-0.706306081947736,-0.0328560319875929,-0.421550826168101,-0.279829287544734,-0.547521872426576,-0.393061912278365,2.3916717065437,-0.391451935135793,-0.488300974160915,-1.13103519666973,-0.190851183346558,-0.479164665957249,0.320438276129294,0.311532739060219,-0.62821878437103,0.875788157154843,-1.91552872070626,-1.20734609743824,-0.448482511255995,-0.371837039482655,-0.539723994206985,-0.298994131392746,0.365171003755709,-0.773415351289735,-0.616340257543673,-0.608911140129791,-0.2325862953354,-0.169889799482897,-0.76874749727941,0.810741743825593,-0.456546445190294,0.215372839331097,-0.640784234988545,2.06685305509971,-0.0864410683364282,-0.378021942124457,-0.378569138287908,0.371838953745324,-0.729255644559342,3.01297481571428,1.01880481496601,-0.665868282031092,-1.82612572077045,-1.4266121133596,-1.33551071733899,1.02471162423089,-0.41109720994847,1.05960390834795,-0.332316130003897,-0.346184552013849,-0.3292409900371,-0.117203844454992,-0.184409991843158,-0.888760406455528,-0.526755319109497,-0.740660356928648,-0.477775880103868,-0.546336060947273,-0.16871839399984,-0.859536311367896,-0.524261524559872
