"","SP5448_RS01395","SP5448_RS02240","SP5448_RS02245","SP5448_RS02250","SP5448_RS02255","SP5448_RS02265","SP5448_RS02270","SP5448_RS02275","SP5448_RS02280","SP5448_RS02285","SP5448_RS02290","SP5448_RS02295","SP5448_RS02300","SP5448_RS02305","SP5448_RS02310","SP5448_RS02315","SP5448_RS02320","SP5448_RS02325","SP5448_RS02330","SP5448_RS02335","SP5448_RS02340","SP5448_RS09240","SP5448_RS02355","SP5448_RS02365","SP5448_RS09420"
"SPYO_As_1 (GE) - TPM",0.693758207548369,1.29852908762311,2.07498250994214,1.6882859412325,1.16994908314342,1.02404423699511,1.50574455990634,1.31591032707377,0.724099065758962,1.02095579481703,1.60615410859775,0.765316347041733,1.3896881664242,1.19518480457834,0.793034950357052,1.65027828088011,1.8042992388773,1.68318573467526,1.06179292297926,1.38099490220192,1.22270320361007,1.78272541226479,0.304466107179742,0.615136694757152,0.654019433667612
"SPYO_As_2 (GE) - TPM",0.705866486939316,2.01847868823411,1.86991403744427,1.56316736386932,1.61737191595461,1.05715638820448,1.0012732853425,1.80622923066983,1.78973888507263,0.784365747589197,0.978724386024715,0.443294820434824,1.39211699728641,0.825540555473488,1.55860552951619,1.48928197763398,1.23186041747606,1.58402787055904,0.749691678091894,0.860008582864195,0.751202356629548,0.465762242770958,1.32722498654808,0.785599452099804,1.26794583835065
"SPYO_As_3 (GE) - TPM",1.49308346147659,2.63567076244442,2.23259868981087,1.40100459052676,0.984683400434174,0.485561372869506,1.67158272661196,1.33386750037298,1.19845333710412,2.48600226323713,1.39197869603656,2.35451129776682,1.50991521171329,1.39308456485949,1.1819093131797,1.76497289447526,0.751964742192472,1.4641399215007,1.2850286325973,1.30704177598121,1.16136073574065,1.27845242003265,1.10894031688714,0.845921583388673,1.75056471962924
"SPYO_Bs_1 (GE) - TPM",-1.60964658169006,-1.05520059940829,-0.940338795003881,-0.95282045630154,-1.39805996471194,-1.41680279238367,-1.58788958640694,-1.65987756294485,-1.50581117046901,-1.33176151040208,-1.26676721111461,-1.15605416472384,-1.56052195334857,-1.57039598716432,-1.08890773484353,-1.48604062610432,-1.64891920092769,-1.48398056787074,-1.51956391121005,-1.06661958694833,-1.59057954356481,-1.54447149473088,-1.27879226212887,-1.53708306875593,-1.17153448751554
"SPYO_Bs_2 (GE) - TPM",-1.05932215500708,-0.783826716363111,-0.95935680518322,-1.11093316476066,-1.12802098094378,-0.819739888290032,-1.23472169920903,-1.05238120803895,-1.01901630276444,-1.3298301540079,-0.916333434340009,-1.06029034099508,-1.327086056926,-1.2096914520526,-1.24717098369795,-1.17937357429272,-1.23268511484732,-1.28859126099773,-1.38848473032648,-1.20999080553294,-1.25303906953924,-1.35011414276286,-1.32143859991427,-1.25192995711022,-1.24832504757373
"SPYO_Bs_3 (GE) - TPM",-1.03733216775115,-1.06112451378803,-0.882873358286966,-1.18092916364019,-1.4704129706601,-1.00384440481588,-1.6100081424766,-1.63415902988053,-1.3484126126098,-1.49393309014621,-1.40341183009407,-0.921088916805675,-1.70868129727981,-1.50687823368657,-1.03996393892519,-1.47807074890143,-1.45848989861546,-1.54443452619607,-1.65838074492743,-1.38100791844002,-1.40479465523585,-1.02414022855315,-1.151417902873,-1.52646190838438,-1.14677840089046
"SPYO_Ctrl_1 (GE) - TPM",0.476999489001878,-0.549615829081293,-0.935158835328463,-0.618268274205483,-1.00444195696083,-1.1128712465203,-0.304399084633889,-0.289685424398858,-0.83835586075619,-0.745617706928172,-0.418989519486901,-0.524726485763794,-0.645194847222017,-0.459015716010864,-0.405740014282248,-0.708309690516768,-0.693271332704041,-0.752600895920079,-1.21963294921761,-0.859342749109004,-0.805944099488619,-0.432417002555625,-0.816574440139359,-1.07757880137603,-0.749319653042678
"SPYO_Ctrl_2 (GE) - TPM",-0.82826539041397,-0.71308565290932,-0.859853451674998,-0.575368829894009,-0.700799700808685,-0.495074845681446,-0.241753323701915,-0.0347898590042666,-0.477858423723112,-0.565729879717131,-0.553045617566632,-0.950413818804554,-0.810442389789137,-0.369961431540644,-1.10157120237529,-0.517342237386468,-1.16986941605992,-0.858100395983622,-0.655794303198668,-1.04225965457884,-1.01149894232007,-0.217590028038721,-0.145804537348923,-0.479111479489493,-1.13871511912988
"SPYO_Ctrl_3 (GE) - TPM",-0.431693883940433,-1.08585538708836,-0.815306212237888,-0.685734008488989,-0.648153907700261,-0.535003027178717,-0.117959941141878,-0.0930666025831369,-0.229820510630187,-0.2628011216684,-0.445854749849738,-0.778017024878613,-0.414886025917579,-0.765193270423188,-0.39134901131387,-0.822915052231968,-0.673954776401713,-0.887130410340587,-0.825876331965972,-0.98290802783187,-1.00222704325448,-0.533593529358843,-0.692250251928593,-0.616457318654836,-0.682710574266275
"SPYO_Li_1 (GE) - TPM",-0.550773630880408,-0.740310718945874,-1.21006342260287,-1.29811389624917,-1.20770440694839,-0.458869768287467,-0.938599777987403,-0.675665939150913,-0.568589643806499,-0.722471670265343,-0.604852988911602,-1.21721585029485,-0.872003631050499,-1.28487187401906,-0.864295736128367,-0.919687819057617,-1.12427063270196,-0.991608664062471,-1.16385219213613,-0.974277328773601,-1.20273022868066,-1.34678676789551,-0.908579758626422,-0.941599161482187,0.228147378940506
"SPYO_Li_2 (GE) - TPM",-0.133119395035578,-0.608831095102454,-0.748415314060062,-0.842427022164861,-0.556585080076224,-0.771341982944873,-0.776023059952175,-0.844202782184562,-0.318360949019801,-0.920138388896218,-0.967429716362566,-0.46672204707121,-1.06954365298578,-0.768198198915356,-1.08615936348668,-0.864242628631968,-0.993152693719043,-1.03235677006925,-0.926697469378032,-0.815151862799796,-1.11282382135444,-0.983715948239009,-1.31806040984745,-0.914796785142918,0.645138787487549
"SPYO_Li_3 (GE) - TPM",-0.628504747031012,-1.00177825028324,-0.448076429621151,-0.941265980161124,-0.740527735291251,-1.1233503787531,-0.875424090207374,-0.775058134026802,-1.02643100547864,-0.903265972903599,-0.791184696407871,-0.289295067492115,-1.16395183719487,-0.80485953384562,0.0926061196257978,-0.829533064395433,-0.594838780024729,-1.22722539161649,-0.964137136457033,-1.05197015795954,-0.927790715002148,-0.492342020210884,-0.631070114671315,-0.777268428836727,0.1170962760806
"SPYO_Mig_1 (GE) - TPM",-0.213759253609465,-1.02121295826321,-0.560711496137417,-0.81118009791291,-0.911701384563493,-0.257990456590938,-0.50449321013571,-0.789649299589805,-0.530142715575165,-0.837126727964744,-0.750240861015998,-0.462763795491251,0.832531199221044,0.16974417645935,0.199999844237634,-0.812279192661753,-0.1057989562266,0.156133262734282,0.51949043607175,0.123674337196734,0.425577394351539,0.938621473983702,1.45454446808126,1.33843478908948,-0.761040502885574
"SPYO_Mig_2 (GE) - TPM",-0.601893516712283,-0.863182308133485,-1.25242768307811,-0.732499185771688,-0.199477315481908,-0.747542548593119,-0.447879273805396,0.163554935378493,-0.930941633728438,0.412973312744701,0.33868929671434,-0.38613483050448,0.218442717283742,-0.12984551624587,-0.744718897407476,-0.352823003659424,0.0932849378807807,0.168860102676806,0.502984528443192,0.0764531585824611,0.707358496531967,0.527259484179685,1.17415451948701,0.793980848327999,-0.947016717214712
"SPYO_Mig_3 (GE) - TPM",0.345674250389604,-0.607901410475137,-0.53485170549608,-0.493836418564124,-1.40146039052404,-0.810018380341704,0.333252345313046,-0.286593465697623,-1.24575885205078,1.78275313613023,-0.436014033046209,-1.25335614601681,0.747402588112095,-0.488138501342777,0.576398258378518,-0.522698770418698,0.407704636978544,-0.190212613320704,0.812442679617448,-0.130790835147195,0.75397857931953,-0.345002114829402,0.0939736132514522,1.02442746414211,0.0717223154918175
"SPYO_Nd_1 (GE) - TPM",0.496964793017574,1.02096487841071,0.956269553352679,0.506081763697378,1.62037937832011,0.417884893740747,-0.48184084017953,0.0637408590834754,0.309518985533789,0.293231725623214,-0.329109363197498,1.00872765737184,0.0156040576979021,0.224353360147418,-0.456741697128847,0.471770129309895,0.264960662242058,-0.101593709186744,-0.0686863008618736,1.57083719350316,0.517609991688046,-0.00328022122173903,0.367727628423936,-0.145603675901712,0.644931193129025
"SPYO_Nd_2 (GE) - TPM",0.530258379469607,1.1372350695413,-0.0331191788352273,0.31289400588192,0.481312121969377,0.778811615942828,-0.355323084373657,0.0137618192421126,1.06940353218363,-0.277355381859228,0.507912555464012,0.0975036450051218,-0.0118107249480834,0.0998417512581848,0.820809250921908,0.674953837655643,0.0388226613047563,0.366000929438284,0.156234764895412,0.525323373839698,-0.139875435757119,0.240400011425722,-0.497177008554623,0.36464752671048,0.911058873959045
"SPYO_Nd_3 (GE) - TPM",0.0318977904562601,-0.0907895645691735,1.10054565267933,0.453111854153451,0.959259568388247,0.781096126147991,0.0805534544242387,0.097276979530382,0.168016752531337,0.321981696516229,0.453268561748181,0.0782052834367021,-0.0235854556940725,0.0786252527088211,0.701271382077219,0.552239735822047,0.954150069994826,0.368425597169152,0.525135032813682,-0.122695751942778,0.322244342146105,-0.00563147890590567,-0.1594042823773,0.467376149858512,0.287890925580598
"SPYO_Ns_1 (GE) - TPM",-0.433368168710056,-0.871828510035535,-0.646438113376347,-0.94878821967573,-0.799358562041578,0.730390403889744,0.555405513708637,0.507529505410838,1.27498069558945,0.573848715584516,-0.40258882275064,-0.211239775803116,0.478512516922018,0.0441003449714498,0.321682393453207,0.591956477561592,0.963860630759682,0.740620132750844,0.578777449605623,0.766651248291515,0.311910629728779,0.779363921080559,0.489320920388932,-0.169819638788105,-0.188016977760878
"SPYO_Ns_2 (GE) - TPM",-0.325799285768944,0.503462499602055,-0.292551608850113,-0.203378250328207,0.48112614270271,1.0731292234362,1.05263305017859,1.35881332272316,1.58841200424058,1.55834210002967,1.14618114478854,2.0474100833862,1.66120696929445,1.51177420386954,0.207705840848355,1.84967152065337,1.42514186213036,1.37440265827765,1.32640796619789,0.849750127469142,1.28006591617286,1.14718314886177,0.76716384161847,0.764802176987106,0.078172492243458
"SPYO_Ns_3 (GE) - TPM",-0.875680067004039,0.564238051873398,0.0279094456959161,-0.0924238172123155,-0.486340915360421,-0.293115574123358,0.838847625664414,0.330705078702658,1.79919809361381,0.688782838347882,0.354959318809909,0.447999883941013,0.388682540104962,-0.058319591142433,0.766998911082166,0.972884797210445,1.18611975377009,1.05340307883062,1.24144911089967,0.551518038999693,0.402769906478564,1.00739531045047,0.275632881947267,0.174682671293199,0.650357036882641
"SPYO_Oss_1 (GE) - TPM",1.51191056999609,1.11526748001269,0.638205061967406,1.7339337288272,0.700997274172346,0.207181060721216,0.90636410206456,0.631949778615616,1.23738236902975,0.772995902044195,1.92343913168817,1.85397965722649,1.11366984413606,0.959642513040932,0.885871947509535,0.832986740727301,1.21355700395002,0.874373952371816,0.879773463219568,0.636107521117022,0.616518193550546,0.281843717392322,-0.806404350261938,0.431537232667709,0.562571176174577
"SPYO_Oss_2 (GE) - TPM",1.12399602585502,0.380401435968652,1.28257050914587,1.19710675596875,1.38011287087891,0.471472191124528,0.255709555395163,0.534814107369473,0.222697393445511,0.414839574781327,0.745845826097319,1.29336325286746,0.506730391135413,0.294977014689852,0.92540610466609,0.429792913645012,0.306336136725538,0.825481940204218,0.273086486464199,0.472731979927772,0.478785255759333,0.192478425287197,-0.658674694074528,-0.227907230178188,1.42173805077521
"SPYO_Oss_3 (GE) - TPM",1.41502099959574,0.736548274858901,0.663529671614604,0.654363550478653,0.682255044199518,0.972984680001359,0.396585959189781,-0.478188875895452,-0.425294123103838,1.08282762911231,1.11451321375943,0.610896789883166,-0.165691052078616,0.216916704912863,-0.09585613299469,0.202140794002835,0.542219222931879,0.461349869207308,0.357487312325434,-0.0106652085920604,0.117582202179501,-1.0795662702931,-0.426181128028081,-0.265240944781843,0.983073484778347
"SPYO_Oxs_1 (GE) - TPM",1.83846380611724,0.829624269750486,0.327345837903796,0.462446667869943,0.735059531750634,1.06531199139696,1.71728161350183,1.39486607211753,-0.0912763053338987,0.574401752822894,0.36769069937616,0.125710607586305,0.57752110471379,0.484036024564325,0.637304083111794,0.413587471079447,0.210455731073817,0.411042389819007,0.456933330860429,1.23647427395008,0.468624760910507,-1.11032829429312,1.43033619770025,0.622391628863708,-0.651763180904524
"SPYO_Oxs_2 (GE) - TPM",2.45160717983327,0.964715388115247,0.995182615434261,1.39275698734586,0.601978076264821,3.17471590035438,1.84059790900206,1.56404599423582,1.00671348011908,0.256979652881916,2.11357743414655,0.776463275585566,0.876652996841564,0.597435444393859,2.48918595059963,0.792901293233764,0.462183936512287,0.19093595825014,0.582585139083434,0.62140576027721,0.908975029420027,0.380477149588294,0.631955424964098,1.5417198650455,0.234272486539672
"SPYO_Oxs_3 (GE) - TPM",1.547239616074,0.290275940303443,0.753236740771347,1.08084587664008,1.57216333641203,0.629339532060519,1.70321287347994,1.50818914635976,0.885875240209313,0.44676355054966,0.674889714559993,1.32084044662836,0.571449007182194,1.02193484932624,0.836347897355322,0.890631562534441,0.672044356543658,0.489311751646705,0.425474724692165,0.720190177661927,1.11100386599082,2.29220665384612,1.16272643145641,1.2681114990745,0.170995982780508
"SPYO_Sp_1 (GE) - TPM",-0.776311020028029,-0.895655873319702,-0.518779859604451,-0.435894115874582,-0.455338076421439,-0.0453431082009539,0.0792608947768533,0.206366099886976,-0.420899296261704,0.680138639295211,-0.663459067182303,0.345620097052457,0.995838443726498,1.74941502242835,-1.1605741911908,0.123632480079241,0.578451888313936,0.98070096983465,0.167125990929675,1.40769495333588,1.30504089157182,1.10287003853591,0.560202926933805,1.14309421739422,-0.710120848994401
"SPYO_Sp_2 (GE) - TPM",-0.335027319409132,-0.435556841871505,-0.395731686784082,-0.322354298868194,-0.144234927476375,-1.45841169285813,0.859874257098375,0.636879738413431,-0.235402769679831,0.167225997884268,0.821283501428684,0.259589443794593,1.11371094135155,1.89118080194525,-0.715283528713006,0.0103629550328536,0.358673861144258,0.956757779203727,1.80298683087082,0.780821015057412,1.56776320812166,1.48632482307994,1.8451597401372,0.820707693125538,0.0921946358255465
"SPYO_Sp_3 (GE) - TPM",0.129213783476343,-0.698526212830777,-0.130307272393603,0.13244258952962,0.235770307231858,-0.224398118559048,-0.474135015228563,0.149911705530314,0.15518032964352,-1.34211499217666,-0.771875621086926,-0.901390843910655,0.799259057631047,1.32750952152412,1.20455460772922,-0.0406160464487379,0.758448520455151,0.111245909700325,0.507827014381623,0.377800030116054,0.562998018987236,-0.266845898830556,1.84312975647002,1.52747934075479,0.453257899018333
"SPYO_Tm_1 (GE) - TPM",-0.826726930985266,0.0381532870363647,1.08494319148334,0.733106043713273,1.09154450728156,0.517532248515814,-0.488921623280797,0.0680860548649215,0.325152037519197,-0.182590520533402,0.507554776496126,0.311911206272988,-0.629696502068243,-0.149519239534283,1.01054824057251,0.558652520502924,0.157906691467369,0.105621993515377,0.545670487810245,0.176659227541449,0.0145763267361756,-0.738968937013856,0.0225588221751447,-0.147403852786736,0.896720142639592
"SPYO_Tm_2 (GE) - TPM",-0.337045067239586,1.53493004759156,0.632408031634329,1.37808750290086,0.821926995655588,1.17667698339488,-0.105460816934026,-0.0515218335739309,0.274405629822169,0.211206663379397,-0.103665117324422,-0.0377403108648959,-0.302905165554052,0.197258321527789,-0.26777724769671,0.45867762512874,0.509032863741703,0.409474161136806,0.350810500816372,0.0229124684709602,0.198078901126759,0.581218833023454,0.146478423391909,0.215964330507942,1.32057199426684
"SPYO_Tm_3 (GE) - TPM",-0.907426627547332,0.409556893493401,0.686223488620931,1.16597123688257,1.05887484868074,0.379824763235153,-0.30753757459717,0.102576897578947,1.16752967708811,0.446289493908711,0.258186949993741,0.38634357276951,-0.113061745477808,-0.108324466506129,-0.0102547248620347,0.465274629997594,-0.0360460513684229,0.283568379659563,0.17903864308071,0.632190287646553,0.223645582116578,0.571401157588474,0.0680990168079889,0.549622996319126,1.2611165652215
"SPYO_Vic_1 (GE) - TPM",-1.44064782492285,-0.522060352202241,-0.726524646975751,-0.978286662098448,-0.844631318344409,-0.99748634279284,-1.3362441863429,-1.59372372027028,-0.984685491451283,-1.09152908244827,-1.35256442794626,-0.967893340060235,-1.26841670790408,-1.37131769630998,-1.48084692019651,-1.27887485010005,-1.51054057537089,-1.65852132719702,-1.64467364278566,-1.59369661715198,-1.65291928994831,-1.19809190519309,-1.39371519822065,-1.71120554531413,-2.45223224804874
"SPYO_Vic_2 (GE) - TPM",-1.08652547656493,-0.812950809531349,-0.913360439654113,-1.11678457134651,-0.675193819323272,-1.07586651078179,-1.45391434368721,-1.64467035499202,-1.3277339139305,-1.49066671612408,-1.29886721968347,-1.34703954202496,-1.39710748506108,-1.60817626178198,-1.60355356582235,-1.54322375029866,-1.73121885777651,-1.33051620085004,-1.3844158000969,-1.84764259957858,-1.55903922417862,-1.17608938947732,-1.38656106562217,-1.71628778370606,-2.06515189306777
"SPYO_Vic_3 (GE) - TPM",-0.353086328995311,-1.05875845065777,-1.5216187223163,-1.51432002599939,-1.42232098980225,-1.29604254433406,-1.15565105137611,-1.88584106092851,-1.67196592813184,-1.47997327123824,-1.82859501836245,-1.596305066545,-1.70434822027794,-1.62984826215802,-1.44947573415631,-1.84061958206047,-1.91842353972224,-1.71219160955072,-1.86803961418596,-2.0082213296455,-1.76711172054426,-1.20700855098843,-1.48169001923264,-1.78988257971804,-0.790832038167712
