"","SPD_RS00130","SPD_RS00145","SPD_RS00230","SPD_RS00235","SPD_RS00240","SPD_RS00520","SPD_RS00725","SPD_RS02680","SPD_RS02795","SPD_RS03320","SPD_RS03325","SPD_RS04330","SPD_RS04540","SPD_RS06140","SPD_RS06480","SPD_RS06495","SPD_RS07710","SPD_RS08000","SPD_RS08220","SPD_RS08705","SPD_RS08865","SPD_RS08875","SPD_RS08915","SPD_RS09110","SPD_RS09165","SPD_RS09820","SPD_RS09860","SPD_RS09865","SPD_RS09870","SPD_RS09875","SPD_RS09880","SPD_RS09885","SPD_RS09890","SPD_RS09895","SPD_RS09945","SPD_RS10150","SPD_RS10730"
"STRPN_As_1 (GE) - TPM",-0.349412250582033,0.574392934851045,-0.442108545137788,-0.348935049764555,-0.389714614330109,-0.423845808313279,-0.524730569876002,0.521993509324087,-0.356779416538706,-0.579817161460668,-0.389738410988486,-0.603516171136168,0.0200346709426187,-0.39577364985538,0.272121928168727,-0.290950675538263,-0.618333879604883,-0.462520910457429,-0.622230570836851,-0.415522142478037,0.136878349283814,0.0512804188898938,-0.429928883259947,0.646181434353198,-0.865691711543575,-0.575576898216717,-0.480072799027182,-0.39328600359392,-0.455528692065296,-0.308841543500099,0.195985838311154,-0.207287998913605,-0.214365258827923,0.20528843967078,0.129733472729594,-0.766205038807032,-0.0936421640184459
"STRPN_As_2 (GE) - TPM",0.0812933144173656,0.466922935306301,-0.168378684055211,-0.0775268285563408,-0.0528663691821044,-0.353160127647106,-0.377990327873333,0.0582357899837712,-0.474480537376698,-0.64253093309936,-0.345308957888281,-0.666105097968591,0.895412686092904,-0.302485863622325,1.39106108564782,-0.133222477098393,-0.303508272790905,-0.406387370216414,-0.523328932828767,-0.463938113675579,1.12305853125322,0.954615929156216,-0.506128255243804,1.13064930370959,0.642081450266422,-0.274932499809902,0.0921732621351672,0.0476757586534166,0.683762468320674,0.0400078017870472,0.902140192254443,0.611230431881512,0.48556147328579,1.00214888386787,0.457577278108874,-0.412825008137906,-0.056692348998048
"STRPN_As_3 (GE) - TPM",0.0918148031857677,3.40222000429325,-0.155962573510668,0.339529357718031,0.160772647076008,-0.251854645118757,-0.524730569876002,1.28181497852339,0.0139182558294764,-0.364294355550519,-0.336747805537754,-0.259883290964436,2.76557588353979,3.34570207579741,-0.103025942979846,0.0553300497759909,0.777292046259194,-0.15805470216532,-0.230869685265992,0.392382779953234,2.36593121934184,1.89124169906481,-0.479149935373738,3.72704354371923,1.33377806149836,4.11704727145786e-05,0.723887210469268,0.776620000896473,1.03212633808257,0.709743656952445,1.90399410727964,2.06413943594616,1.46020829599205,2.6315509768983,0.47084427311518,-0.500662938804255,0.542965325928256
"STRPN_Bs_1 (GE) - TPM",0.0572106259651182,1.26926087978304,-0.531190095015824,1.08191431509793,0.54296120525626,0.774913305870074,0.598210837248708,0.0432315088189256,0.38706845707381,0.349878605020519,-0.13033799104884,-0.549419137700187,-0.262367223379855,0.0492472646537895,0.198635361553204,0.329736116030261,1.32042672273779,0.744260600981905,0.751748107258194,0.150985287723318,0.21347870777091,0.357470239354722,-0.60373096315831,-0.360243941046617,-0.865691711543575,-0.575576898216717,0.472220350562772,-0.155681788604539,-0.381526197259876,-0.185917786866939,0.770964162486581,0.706302479148492,0.548644527933438,0.233419660103482,0.267157407046158,-0.581255582546797,0.182820182826198
"STRPN_Bs_2 (GE) - TPM",0.524752107329296,0.635700474136584,1.43933233153289,1.95925504137402,1.48282019030711,2.69295711620894,1.667997312022,-0.863713461992228,0.814709368125376,1.68615534508244,2.27699888809833,1.11751542701924,0.665612573865872,-0.408344876014248,-0.127660089766437,0.830551586829038,1.52080725544927,2.52221797884252,1.41472749809677,0.356687792220639,1.51286087200594,1.80612134900821,0.854738617179821,-0.07282695316775,-0.865691711543575,-0.575576898216717,1.91628523496892,0.485015639980571,0.0403089642358508,0.605574518872281,-0.128335784463401,0.442975166009056,2.0520995269035,0.860231285389918,1.57716499543393,0.589702703720216,0.526208721408442
"STRPN_Bs_3 (GE) - TPM",3.80534268836529,2.78699580018727,4.64594944726495,4.8859897836588,5.23051802016724,3.60238594344817,4.87073687006798,3.90436296644679,4.9276267686776,3.61641567183349,3.34674346463717,3.2147445074009,3.87606077220028,3.31013451874059,4.70060643754555,4.94410249264211,3.09452240706946,4.7864857055794,4.50110337478325,4.65583343018163,4.02745796309537,4.32858263219961,4.77937553026334,1.37568089264108,3.09424110853277,4.95159493194001,4.30097042442769,4.27396487436315,4.69838339518762,5.47629401783417,2.73106486177987,3.78340243947024,4.47598003710974,4.17471269321448,4.96998648536202,3.23115404580821,4.06774240509795
"STRPN_Ctrl_1 (GE) - TPM",-0.210339409888236,0.219983944619048,-0.0287690974537106,-0.468140765038916,-0.439913896389812,-0.95038160835888,-0.524730569876002,0.117530265596624,-0.488919500682797,-0.510063259883637,-0.58336185644988,-0.172142586203003,-0.701269841243077,-0.161039762126612,-0.459792986138256,-0.612266996607212,-0.896264462768184,-0.470782667173975,-0.697652439877479,-0.270644236547141,-0.563542811683026,-0.718745124805667,-0.60373096315831,-0.449032868992559,-0.421414162201207,-0.575576898216717,-0.739600909397456,-0.848535779385328,-0.528158410694757,-0.656820007068234,-0.820910522302076,-0.552921660412947,-0.594817606557283,-0.652772719215245,-0.522619343497405,-0.562424887492121,-0.615736997726136
"STRPN_Ctrl_2 (GE) - TPM",-0.423540226752681,0.140658409453712,-0.117435254943722,-0.462021267839443,-0.46230556127714,-0.820022268895612,-0.524730569876002,0.171214655853306,-0.61078329901087,-0.597056750988211,-0.57438503471682,-0.274361654044982,-0.540593732640473,-0.115313551450832,-0.424772171330201,-0.448693648449437,-0.822466296669294,-0.435385331881196,-0.728762137456013,-0.335225140493057,-0.61089265232865,-0.693444619641289,-0.60373096315831,-0.471969691748664,0.0705810556449624,-0.575576898216717,-0.67233975743831,-0.668826065208604,-0.648471038590988,-0.609768908487483,-0.94460007339558,-0.780122156790576,-0.61115235996829,-0.64620570185809,-0.483893849849896,-0.480013383993016,-0.424297166782221
"STRPN_Ctrl_3 (GE) - TPM",-0.124682759015242,0.33207521074521,-0.0663206805523628,-0.471445417267717,-0.431183568182845,-0.916546262932102,-0.032662313415566,-0.0331276448872356,-0.564291849195338,-0.657552311301602,-0.376848413153981,-0.59042346738371,-0.649858898174812,-0.107814799977859,-0.537639423314549,-0.386092071735968,-0.904499018466309,-0.463446981715553,-0.708407787536298,-0.31397787092681,-0.615808196832293,-0.701547549199258,-0.60373096315831,-0.427879756957698,-0.865691711543575,-0.197517095922877,-0.687508922492606,-0.820113077979402,-0.653937815828686,-0.533825352508487,-1.16090427166491,-0.655457515033855,-0.634315450595935,-0.547874202716727,-0.506370710494178,-0.426212015893053,-0.503859187834473
"STRPN_Li_1 (GE) - TPM",-0.943511152996184,-0.789542404577553,0.191191454628049,-0.352648503478764,-0.321159572841421,-1.00851661162054,-0.524730569876002,0.154484944043218,0.0172807068183554,-0.200495712288559,-0.269257699536437,-0.606515479324286,-0.34821818224516,0.727357345136299,0.363278841548333,0.387231341834679,0.52854989135491,0.0131764440821435,-0.152878003773047,-0.691178984335713,-0.470641811202155,-0.428398610487821,-0.43812941808126,-0.562755815914222,-0.500231176346536,-0.320526716043821,-0.595943516606137,-0.588081543182823,-0.518156352615576,-0.164448377195846,-0.423165783034346,-0.0991948489406744,-0.581648426504591,-0.420742323371884,-0.18453959960813,-0.234435841297865,-0.512308612000949
"STRPN_Li_2 (GE) - TPM",-0.758507402050353,-0.861191129360346,-0.260704932655952,-0.264230686574708,-0.316426814728988,-0.76275984454285,0.299846702425816,0.539197995941199,0.346567427750867,-0.24580735609767,-0.408969721916799,-0.403645724343938,-0.347505004957064,0.591682598779441,0.960816858243741,0.201577466935444,0.0740924941636372,-0.0989647759531016,-0.130764560424404,-0.634895216858728,-0.555973927952989,-0.360462767373154,-0.329501570934069,-0.652776384758801,0.344683715418058,-0.364400558047493,-0.532858314557721,-0.69479778303296,-0.717430933594512,-0.274668371964405,-0.916160220965526,-0.0641604663068473,-0.49171366268863,-0.478538554229127,-0.233703508192847,-0.468304845008357,-0.260151569870297
"STRPN_Li_3 (GE) - TPM",-0.881344810327453,-0.768384262603166,0.350932698428011,-0.324128015572118,-0.363748008442243,-0.99715638269137,-0.524730569876002,-0.212423754335141,0.0818303500796104,-0.448805473643327,-0.330712488846175,-0.382016153733131,-0.394791845514769,0.817323916949921,-0.0696990809974392,0.305698293762091,0.301018099326638,0.0609648741689415,-0.163211596490798,-0.602074870068726,-0.469220180301824,-0.361005960750787,-0.236027175469539,-0.634911515365324,-0.45995508965587,-0.292418555618702,-0.549585463670083,-0.48551680785628,-0.404418547457946,-0.314015113618439,-0.350219514154394,-0.266826760765584,-0.532176386847548,-0.42932174371837,-0.208405343410102,-0.347643710396252,-0.55350559739036
"STRPN_Mig_1 (GE) - TPM",-0.781920494776495,-1.02281238926827,-0.620845194015945,-0.689012830012461,-0.573893859160588,0.786749135449213,-0.524730569876002,-0.811712913680718,-0.816993281427973,-0.861757691481129,-0.680600156497576,-0.404779389952297,-0.783206044456531,-1.10952919199881,-0.89976045913206,-0.872047045459954,-0.575178268052988,-0.597105070531114,-0.485755774680996,-0.865586805223959,-0.849478243589459,-0.840732947972875,-0.491454114739225,-0.804536761475849,-0.865691711543575,0.461958009235431,-0.778927332048777,-0.784514420388748,-0.686971321761189,-0.391456314547238,-0.963155499188379,-0.591541449329946,-0.664891571069561,-0.728486743628639,-0.998670781887349,-0.641127729933783,-0.289405969919845
"STRPN_Mig_2 (GE) - TPM",-0.265902439115039,-0.995911074213304,-0.75605028540071,-0.628344832084022,-0.54088061083883,0.719015325655067,-0.320870842007945,-1.11362044528661,-0.74595503313103,-0.760237011739247,-0.666078799244844,-0.999937420515666,-0.683209482398736,-1.16156310411146,-1.07531587628078,-0.864194202263122,0.100500025141014,-0.562403133710036,0.00627193141050246,-0.641905791709734,-0.836891137182186,-0.755445845565655,-0.468135838024648,-0.796887166862499,0.0320293871867028,0.364185023656413,-0.806107498175807,-0.813503714134607,-0.656751813058586,-0.630306737880705,-0.893300568121464,-0.567773996793344,-0.551169237775052,-0.609692990999352,-1.00254140454992,-0.647260459992752,-0.202480101320812
"STRPN_Mig_3 (GE) - TPM",-0.609348783608685,-1.05603177245727,-0.619225735042547,-0.700876520393267,-0.588283783482178,0.813784797235776,-0.524730569876002,-1.33045373678477,-0.720130547775076,-0.691619570297682,-0.679762669814956,-0.560507818025825,-0.790636994232657,-1.14395031269889,-1.01990472466407,-0.714140914267592,0.611329088891971,-0.61925958431131,0.486670368853618,-0.750059193467114,-0.885939961770961,-0.768004969269265,-0.60373096315831,-0.807428905091917,-0.865691711543575,0.0369011034309218,-0.868276320003284,-0.816796769958067,-0.770570204469328,-0.114355198620668,-1.13744224702677,-0.241795193092419,-0.620214876122032,-0.723530286150278,-1.05062165531966,-0.657291293143192,0.253689573773954
"STRPN_Nd_1 (GE) - TPM",-0.33835052968286,-0.964209435752057,-0.325159933373127,-0.151758531970208,-0.0786948994571471,0.484249615664072,-0.309545917797999,-0.886383939757574,-0.645315974783934,-0.254515365025811,-0.483123449480038,-1.06479566049538,-0.171525873977483,-0.668255433616903,-0.880100861830019,0.554643104063265,-1.25857797810418,-0.413040135972391,0.689324411369525,-0.698232798685267,-0.700540840977592,-0.423999651992539,-0.460603185446973,0.472553112987659,-0.23396385812104,1.07770322915641,0.0235988855170301,-0.278435847201526,-0.379061032479871,-0.11954965425758,0.0437333559799152,-0.581445589918358,0.00258928046058428,0.00432853680975843,-0.510092163961506,-0.683725971067611,-0.569395758405464
"STRPN_Nd_2 (GE) - TPM",-0.865373257547953,-0.902069089491349,0.301305108634644,-0.024199896999044,-0.00231068499642856,1.88904068573378,1.05938463329699,-0.189655235331576,-0.551071304706636,-0.204359367226663,-0.185492897331369,-0.143117660693631,-0.0529271521204616,-0.763276223372651,-0.780086958561295,-0.0869300254434387,-1.21500964202562,-0.256407645342684,0.053655923669139,-0.883340543780366,-0.252871947618151,0.0828959258312617,-0.428121405894816,-0.00159860607227549,1.07204270839096,1.58813477906784,0.148144948091841,0.414276214795971,0.526407046772857,-0.174258722746481,0.361319241242971,0.226905757037727,0.193537032585941,-0.0257375174073179,-0.0662356496908135,-0.312251636164815,-0.605872209221589
"STRPN_Nd_3 (GE) - TPM",-0.425585563363326,-0.951581994712704,-0.246811327142598,-0.0428333225829247,-0.0147695843419739,0.266577548295804,-0.524730569876002,-0.989923543671767,-0.812717670383083,-0.334068768058396,-0.223824669844793,-1.04863345737949,-0.334590696425848,-0.190307337452308,-0.769457175416038,-0.464217692102198,-1.12366388940092,-0.423715648095188,0.010287425060564,-0.939511554908772,-0.468879562006576,-0.254912911524338,-0.180849363809199,0.229585524647926,0.0675516074414614,0.401370770672643,0.17693053219185,-0.249105580758271,0.0642933873218925,-0.045524754989771,0.348767978525596,0.274008299945337,0.0836364804735225,-0.0710362888485234,-0.36180906772151,-0.549355305605471,-0.445004786430896
"STRPN_Ns_1 (GE) - TPM",-0.720723299650634,0.0275264517794333,-0.631977151706789,-0.439489271729017,-0.425432409238798,-0.697514209319834,-0.524730569876002,0.169365526202331,-0.23180614415973,-0.501766280085436,-0.558030636041379,-0.105784182901505,-0.502587270091479,-0.564771007902294,0.0840373542438733,-0.103816842267503,-1.02412473167977,-0.341695350756482,-0.515364494184281,-0.120096049431249,-0.570218860405651,-0.592778721779046,-0.397665640253376,-0.314914626504458,-0.865691711543575,-0.416891790061838,-0.464081250543168,-0.813585268140492,-0.724896685115752,-0.387553704448853,-0.371180532823597,-0.664641477357283,-0.607058273066142,-0.437028654494356,-0.312683383532788,-0.556294223115239,-0.441506958139474
"STRPN_Ns_2 (GE) - TPM",-0.325618489248355,-0.169774233966469,-0.593791052570796,-0.432369265798463,-0.429033838710856,-0.69785872679082,-0.524730569876002,-0.200556098825959,-0.476121100694508,-0.727247323044714,-0.47081775384951,-0.28942247599641,-0.473360592728589,-0.69685063951566,0.197507232665978,-0.502170904336042,-0.881675250829355,-0.367218243083228,-0.606996034917352,-0.201042104281457,-0.481802477357875,-0.551571167127898,-0.334244731641716,-0.397559098079067,-0.270971521663475,-0.368053132683026,-0.674327590926006,-0.659479309550667,-0.854941747112817,-0.457624985186091,-0.299138996335694,-0.530371306365504,-0.5554590408102,-0.526398429361482,-0.327391764580931,-0.387461172175781,-0.524449320995235
"STRPN_Ns_3 (GE) - TPM",-0.216076602193788,-0.104183580256027,-0.578330442992882,-0.396249376304183,-0.438783299137584,-0.692167566152823,-0.0809682270146814,0.11272114670634,-0.213344970772218,-0.456608517877968,-0.627978757267037,-0.121512250634639,-0.489941699304657,-0.644366894286853,0.382031808566159,-0.577848216513668,-0.895110142294607,-0.389109914679034,-0.631606824368423,-0.257907505526412,-0.492981237601762,-0.605520585072997,-0.0134033776369166,-0.411054620616668,-0.214304566760757,-0.461928231552672,-0.589649516654609,-0.751142102206121,-0.729112236189662,-0.397316888327859,-0.517942750641896,-0.609915658399098,-0.600630343940176,-0.36523274448444,-0.314684368549535,-0.631787373491602,-0.463515582875573
"STRPN_Oss_1 (GE) - TPM",-0.390786573563866,-0.552081284490714,-0.632904385073289,-0.316564950199462,-0.266930293250508,-0.393594003298766,0.0902543696344885,0.400583745276072,-0.0437536225759036,0.133581072210733,0.204734515467168,0.899403529610493,-0.217014273714789,-0.768748035466638,-0.559817209052351,0.5413163674452,-0.436680823329937,0.0790045176264977,0.509859164136393,1.78289688057623,-0.455732268763671,-0.460589118415189,0.827946409730842,0.176275520618765,-0.414331551978593,-0.103079268820607,-0.172373305625145,-0.400502606927658,-0.456585616920969,-0.070370521815126,-0.335955180183799,0.01253663318231,-0.27066436948222,-0.237760697917605,-0.237480007440022,0.101745147387296,1.14184842252672
"STRPN_Oss_2 (GE) - TPM",-0.391407483676644,-0.533327819316886,-0.427967890046998,0.0179923957626805,-0.0455484413894293,-0.342112569445351,0.294483596028454,0.522164665435818,0.671443667657489,2.43594135454314,1.73789181221054,0.446038642047233,0.962324306306526,-0.658362619335676,0.506066832095141,0.460136029252152,1.72920905024118,0.911640088691036,1.62293361568981,0.937576813994014,0.193637314337749,0.168165323725606,1.84828110834446,0.548653161491937,1.53931441485235,-0.365774063213798,-0.103476642925745,-0.324899664902869,0.0358900368129467,-0.152626681869426,0.173660976383536,-0.0297033599049982,-0.116179705826899,0.301080570542666,0.211189970765681,0.760293092655659,3.10676689302732
"STRPN_Oss_3 (GE) - TPM",-0.275826973063228,1.03325596946555,0.671338773316739,0.374712871063424,0.499853118815131,-0.395305038612442,-0.0155652098038885,0.307500324470082,0.683412251578939,2.09645036999854,2.48332205589671,-0.417291417075924,0.951946009877066,1.4271138994182,0.350808456278843,0.95438365597853,0.996094542789217,0.423058845297353,0.82998489443643,0.422924608326191,0.494540010758555,0.346106180254185,-0.60373096315831,2.96960105557421,2.12387038728828,-0.0539827145377369,0.632224518272238,0.967027064790968,1.14085077993014,0.224374866281717,2.53210431970436,2.68894391382214,0.833639744643327,0.946564699955792,0.755378579791455,0.0520386847379555,1.03164391352509
"STRPN_Oxs_1 (GE) - TPM",-0.614805298345685,0.0849292273595751,-0.211688935790722,-0.45809274130682,-0.382717892421025,-0.532431651750772,-0.524730569876002,-0.270634795203225,-0.243833687999851,-0.590997460059127,-0.431474406471531,0.197666795981334,-0.481191252224648,-0.565907467184685,0.742893312588939,-0.497459410211982,-0.806290806199909,-0.365417783473352,-0.751725230990233,-0.228306107732195,-0.646865610968174,-0.670615900520537,-0.242092648772885,-0.570843630902049,-0.466647934894607,-0.436333152188188,-0.646597722286136,-0.783399652021164,-0.438496317059479,-0.605295595387177,-0.7882092712261,-0.499338111200017,-0.585691198602779,-0.602007245828513,-0.304421689943021,-0.530530695574586,-0.56130845138986
"STRPN_Oxs_2 (GE) - TPM",-0.533506937136137,0.00839819438595073,-0.355863097543416,-0.451668501538216,-0.379654926139329,-0.598235015601008,-0.524730569876002,-0.321566744500771,-0.365359014941969,-0.596358551367461,-0.426294184152459,0.00188575306128348,-0.510451719819157,-0.560501654802903,0.224733655866722,-0.37311241026189,-0.760468727422254,-0.385974833051687,-0.690830650255866,-0.294700999119862,-0.692942590571291,-0.697251444864096,-0.271408003080511,-0.559846684617639,-0.572334721960038,-0.422029360668991,-0.648452367682493,-0.835723712751723,-0.582192774634546,-0.560270273656932,-0.861888191106431,-0.638561984103156,-0.589005512580666,-0.585339687929742,-0.291461897450497,-0.479110555635565,-0.531208454120988
"STRPN_Oxs_3 (GE) - TPM",-0.0286468533250184,0.293671674911647,-0.613385494311813,0.174819911193508,0.259190093107586,-0.189830992777256,1.25642287621439,-0.301768134517471,-0.22458472792863,0.261777691782104,0.675847510980449,0.65816602575174,0.440194105386782,-0.302576535960457,0.23126407800264,0.458192259693793,-0.752613219809996,-0.194545443902548,-0.0775534505716849,0.0801034146502415,0.312473521199311,-0.0129033607178005,0.580984267931667,0.831812860048358,0.703013443097553,-0.484345311103439,0.178776622227213,0.0477537633184904,0.767982329846748,0.591795206576284,0.263961318015431,-0.0976306708222307,0.432498978363989,0.494440896125171,0.620674711662605,-0.057650011247865,-0.374865569415589
"STRPN_Sp_1 (GE) - TPM",0.574306861109741,-0.942804253146088,-0.549035898139716,-0.497435543695774,-0.395738011471056,-0.2040943645491,-0.266275497326875,-0.724607793332027,-0.567959670543355,-0.775951845381003,-0.67914983794686,-0.627936264369157,-0.636906195321774,0.328394692528462,-0.833485732485601,-0.512470589350763,0.133858191758004,-0.345376480882394,0.0638018660345651,-0.597440503971293,0.441837680268602,0.560083490454422,-0.259913689274201,-0.522809818506122,-0.865691711543575,0.748243152746767,-0.4586259909621,0.400802059467652,-0.151917383457568,-0.0450251380361332,0.450480013148764,-0.684962325185269,-0.595785402407014,-0.491669812419111,0.166786868670873,0.00986098891004708,-0.462220448742129
"STRPN_Sp_2 (GE) - TPM",0.694324927739425,-0.964120340716618,-0.533793029422965,-0.523037195887683,-0.415155338518878,-0.281194150030899,-0.247244951629302,-0.988542551338153,-0.767383825044059,-0.539324055224072,-0.501487616914814,-0.499754091389907,-0.703870477489111,0.125798906540089,-0.713339284517676,-0.595679389772415,-0.527564512416058,-0.392029957782915,-0.132971412535401,-0.551774692519753,0.327440457201293,0.197309469352679,-0.234597760125619,-0.598653368548908,0.356249947985717,-0.149188255632096,-0.489167386368765,0.0387435259508764,0.0438859052072317,-0.0910696606406518,-0.579863390177249,-0.347316721380859,-0.5571866000987,-0.645642402123174,0.116277890753255,-0.226674940659041,-0.682664507277679
"STRPN_Sp_3 (GE) - TPM",0.0275244709009791,-0.992646606615548,-0.45511501920928,-0.537396280884595,-0.423522030989156,-0.19860843611365,0.226697841208785,-0.82957725720455,-0.713925839224722,-0.425184083535913,-0.543019299598244,-0.545717804939311,-0.632166751607492,-0.2707225960993,-0.504784680153604,-0.677978049844365,-0.208673186173314,-0.4382655206078,-0.189960399116414,-0.666164386967967,0.182095979955768,0.249134315489668,-0.103926364161625,-0.651485701429121,-0.865691711543575,-0.190691437260866,-0.223114213223875,0.149412075696505,0.0736576296182086,0.000572460647553479,-0.592963088206089,-1.02532594965595,-0.425962173192465,-0.604101677417135,0.0899869057837901,-0.0964753839831147,-0.450080005485093
"STRPN_Tm_1 (GE) - TPM",1.54741524944496,-0.136890870233664,1.05193929522327,0.372804703727686,0.510260243813539,-0.37967906755346,-0.524730569876002,2.06246145555135,0.91646976367105,-0.412119158620871,0.122130974979039,1.24539923565696,0.929608417006812,-0.222758900749172,0.185006472875454,0.171565020488792,1.0348815687278,0.0809726586729215,0.259632250883171,0.0103779189392255,0.322781621649028,0.124259149991015,-0.0031755555496189,-0.177334898748083,0.45965401818307,-0.575576898216717,0.953823199117223,1.35279745068126,0.664053505694694,-0.0859639404763936,1.03580631657391,0.170544462952454,0.258060052636402,0.123619540116295,-0.103833274203537,1.30957599326602,0.0390900277742939
"STRPN_Tm_2 (GE) - TPM",2.42178833597258,0.394240154090995,0.388976982692492,0.882872097137068,0.723242326596224,0.409911545653177,0.190046092654097,0.406673362810089,0.0974915450624699,0.680708091239241,1.47000159280324,2.71192669947762,0.845210501097895,0.176934705295295,0.556473738345653,-0.208278216881948,1.48210107229907,-0.0282250506612736,0.094317215138962,0.273567908149319,0.856657142235171,0.597359756398126,0.82254727391226,0.330716668474199,0.183510270479387,0.88887209642917,1.29804971742932,0.614765933791234,1.29051393740975,0.0707645360391337,1.67515395483474,0.62458524015571,0.779062873055667,0.825475115297789,0.243007576530262,1.78594170170647,0.407577131551492
"STRPN_Tm_3 (GE) - TPM",1.55772577077871,0.482559097435011,0.112507868727244,0.213800317063667,0.022713938883236,-0.00650880037906111,0.0174618439599261,1.25501768323012,0.602119075988914,0.623285904202342,0.334964284177668,0.849652418646755,0.295058354024354,0.215833601910904,-0.138414316467055,-0.189236749416543,0.572639838888588,0.0705265174357093,-0.225699100118434,0.349699079646384,0.00302196125543493,0.0907730693947567,-0.333255834173236,-0.297229609233064,1.91985354583898,-0.436720039691826,0.605584176281774,1.91920295740298,-0.0814601984231575,0.473881368404676,0.542816307164741,0.098888972156271,0.163862610279171,-0.0963963808183041,-0.471568435971108,-0.00762837827897625,-0.242647585270891
"STRPN_Vic_1 (GE) - TPM",-0.695271264775199,0.0586258910964793,-0.355546244977722,-0.51071177275859,-0.477746147954679,-0.280855378361903,-0.524730569876002,-0.264717696185895,0.968151642315792,-0.363740304917114,-0.612442377583124,-0.877953868241802,-0.593567233787647,0.732304418489069,-0.393684839636083,-0.822067016895082,-0.0297608370610855,-0.292404272829867,-1.04423722084233,0.875382854000803,-0.750176778801968,-0.629658767041941,0.0614411975816963,-0.654101056632079,-0.865691711543575,-0.575576898216717,-0.59418703689435,0.305707698563315,0.297136350515622,-0.314966523417805,-1.15643372714463,-0.296191252935201,-0.462236350461249,-0.899775115109767,-0.759853482471522,-0.178316437442283,-0.259352005445816
"STRPN_Vic_2 (GE) - TPM",-1.05566627125277,0.37124255208225,-0.75605028540071,-0.306341420090566,-0.341465173371663,0.0368014331896898,-0.524730569876002,-0.279781817613143,0.444998289431801,0.408229351169543,-0.750520083405918,1.8314172267655,-0.507517630985114,-0.103205458629849,-0.654029258152544,-1.02235138626317,-0.022265418140366,-0.546885698952636,-1.07731275011917,0.486552457686334,-0.359535434071874,-0.682371426738658,1.09251508811101,-0.493701350906001,-0.865691711543575,-0.575576898216717,0.898371727818374,0.449439441122903,0.080467151544131,-0.180135094739198,-0.362703900118699,-1.10090810892134,-0.490611577715493,-0.368669622417365,-0.189009650131511,3.55689493612831,-0.575061571656056
"STRPN_Vic_3 (GE) - TPM",0.842655970728631,0.124902735195685,1.88093730503898,-0.428232005468947,-0.434452153777566,-0.102152921546128,-0.524730569876002,-1.4157869597647,-0.337576551164467,0.449855211174069,-0.386869123722403,-0.958643736005692,-0.837762211499512,0.0385979719922773,-0.40257238336087,0.760761146249603,-0.214592931857819,-0.237685723189507,-0.906198989630666,0.648554386661635,-0.783214799623867,-0.595437497704364,-0.60373096315831,-0.746370246088716,-0.865691711543575,-0.575576898216717,-0.645766952000918,-0.0772769616899958,-0.619133907710376,-0.321032581141285,-0.327479431404624,-0.571068669178347,-0.416445528582276,-0.608899755527753,-0.633875383295882,0.0257175255681454,-0.599119666705791
